DATE,Canada
1993M01,84.84602262062909
1993M02,83.51838094803735
1993M03,83.2426269512296
1993M04,84.14229657200303
1993M05,84.72899001798167
1993M06,85.51458868008206
1993M07,85.31478823924076
1993M08,87.45405565493637
1993M09,88.30421632878526
1993M10,89.13308698129907
1993M11,88.11332267595385
1993M12,88.9870751365863
1994M01,88.56029842550176
1994M02,90.9490067405246
1994M03,92.62106419335824
1994M04,94.11083315064147
1994M05,94.39574772440984
1994M06,94.49391660219595
1994M07,94.41762770688926
1994M08,94.68888136647047
1994M09,92.77097503639853
1994M10,93.04971733620671
1994M11,93.31992086608312
1994M12,95.26792889315952
1995M01,96.68990203479986
1995M02,95.94424767526093
1995M03,96.72737941714807
1995M04,94.65634397284661
1995M05,93.25559264766177
1995M06,94.81351681170845
1995M07,93.2268039864643
1995M08,92.99563826788214
1995M09,93.07197650928505
1995M10,93.48220798486743
1995M11,93.1029047748476
1995M12,94.63577651686455
1996M01,94.9743018904183
1996M02,95.86840782133858
1996M03,95.23286019568276
1996M04,94.68805276564593
1996M05,95.24523051116883
1996M06,95.30605121460796
1996M07,95.48851333818757
1996M08,95.67097547502948
1996M09,95.86736288068144
1996M10,94.55492259243213
1996M11,93.61306337636604
1996M12,95.01027327750585
1997M01,94.39851781628253
1997M02,95.1848705029161
1997M03,96.01850311114845
1997M04,97.54200837680376
1997M05,96.67264183208106
1997M06,96.5794990757772
1997M07,96.69999750375464
1997M08,97.47507229509596
1997M09,97.71754758980993
1997M10,97.96002289774218
1997M11,99.41776122475045
1997M12,100.81447511844345
1998M01,101.14883481200015
1998M02,100.52229905674936
1998M03,99.89453652650242
1998M04,100.89483383355089
1998M05,101.45349997501117
1998M06,103.58089574185942
1998M07,105.1189819132396
1998M08,108.77960970694102
1998M09,107.7340454176399
1998M10,109.64806993791426
1998M11,108.94066303508903
1998M12,109.23198247524425
1999M01,107.84027242130485
1999M02,106.43454469017274
1999M03,107.7111403370655
1999M04,105.77827346275092
1999M05,103.42488818766252
1999M06,103.90909424218547
1999M07,105.41274099351484
1999M08,105.43917363304547
1999M09,104.89565079093944
1999M10,104.97092759847443
1999M11,104.43510818166556
1999M12,104.3236512892625
2000M01,103.43076875350299
2000M02,103.38010850480646
2000M03,104.17636454293478
2000M04,105.28434707323117
2000M05,107.10508494545253
2000M06,105.56416681107434
2000M07,105.47775154063224
2000M08,105.5879686268816
2000M09,106.41028788499997
2000M10,107.80051295456934
2000M11,109.66379843533653
2000M12,108.06555321803651
2001M01,107.76358654371774
2001M02,109.07067989403704
2001M03,111.84902212391636
2001M04,111.48963546087379
2001M05,109.6609875621946
2001M06,108.30970091123424
2001M07,109.04747369280574
2001M08,109.76020227903324
2001M09,112.17472140724388
2001M10,112.36705320970418
2001M11,114.65827241107974
2001M12,113.25453428337387
2002M01,114.71220956815677
2002M02,114.46195793354197
2002M03,113.57670526906084
2002M04,112.8092241997942
2002M05,110.44527634938524
2002M06,108.86243015234382
2002M07,109.7489232891275
2002M08,111.0932207292169
2002M09,111.98643373095393
2002M10,111.83952078426518
2002M11,110.80320770896793
2002M12,110.28918528870598
2003M01,108.3917917368853
2003M02,106.26569719676519
2003M03,104.47529230920527
2003M04,103.54266176703955
2003M05,97.61402225338551
2003M06,95.59605674341083
2003M07,97.73145710344883
2003M08,99.23509197912435
2003M09,96.52551877619351
2003M10,93.85846859256355
2003M11,92.62536232942092
2003M12,92.43529946648515
2004M01,92.08840101341904
2004M02,94.53919213047601
2004M03,94.78215940357573
2004M04,95.6164988130502
2004M05,98.19790786668456
2004M06,96.98943785600947
2004M07,94.07744752774751
2004M08,93.5923056507583
2004M09,92.18203576655876
2004M10,89.62333912889513
2004M11,85.75740167133696
2004M12,87.03199264068478
2005M01,88.01330960060095
2005M02,88.90295973953515
2005M03,87.65553385908504
2005M04,89.43926783917634
2005M05,90.70334537025461
2005M06,89.14243736539245
2005M07,87.94594870719351
2005M08,86.623391678585
2005M09,85.50470719762443
2005M10,86.07376809015597
2005M11,85.54096853410513
2005M12,83.82850691628157
2006M01,83.99904753614621
2006M02,83.5974193446928
2006M03,84.32271216971203
2006M04,83.11476521824943
2006M05,80.95847106359277
2006M06,81.26655047473689
2006M07,82.89975019010348
2006M08,82.17767072656112
2006M09,82.22395266328195
2006M10,82.6597383830783
2006M11,83.11476521824943
2006M12,83.815164018693
2007M01,86.26416893092129
2007M02,85.36649798760057
2007M03,85.44598463756124
2007M04,82.68871220822457
2007M05,79.89114408328521
2007M06,78.71767961764928
2007M07,77.1577190303818
2007M08,77.95852459561365
2007M09,75.82515146065693
2007M10,72.49300057174665
2007M11,71.98595249660373
2007M12,74.09631929846091
2008M01,75.34380944233936
2008M02,74.54775334199978
2008M03,74.92683031927864
2008M04,75.53134327729839
2008M05,74.6893896709363
2008M06,76.41742015161941
2008M07,75.80281643287529
2008M08,78.62614992266428
2008M09,79.19668413908869
2008M10,88.18642805612156
2008M11,89.74303073611846
2008M12,90.17510968045626
2009M01,90.8080343210204
2009M02,92.09153730936626
2009M03,92.89075197612054
2009M04,90.24552990959008
2009M05,84.71821191477375
2009M06,83.66813524335545
2009M07,83.08496026785576
2009M08,81.04082592623779
2009M09,80.34755653829338
2009M10,78.25914269053432
2009M11,78.64861071194048
2009M12,78.04040728562619
2010M01,77.35916822110036
2010M02,78.5253756981694
2010M03,75.87243360238831
2010M04,74.99956186500722
2010M05,77.08777310474743
2010M06,77.07879064378245
2010M07,76.69902133516261
2010M08,76.87073091473125
2010M09,76.04555124482837
2010M10,75.07988866156255
