DATE,Greece
1993M01,90.49627616444727
1993M02,92.45802229795471
1993M03,90.71065347838716
1993M04,87.35287476577028
1993M05,87.47107710945704
1993M06,89.45988693528466
1993M07,95.12345101476346
1993M08,96.25076954404996
1993M09,91.96335229493737
1993M10,92.48913098827245
1993M11,94.32662807844495
1993M12,94.07826702452745
1994M01,96.68420698873001
1994M02,96.82584080931206
1994M03,93.3873692674175
1994M04,92.941991110456
1994M05,90.98069736051006
1994M06,90.58625246187322
1994M07,88.49259552557093
1994M08,88.48566021450264
1994M09,86.09971351932214
1994M10,84.27594615341657
1994M11,85.50929845778627
1994M12,86.39854425263563
1995M01,85.48163461283512
1995M02,85.19955628705908
1995M03,80.97069872287747
1995M04,79.04080466733711
1995M05,79.6269172284363
1995M06,78.63778127286902
1995M07,79.63240703358845
1995M08,82.05935730864266
1995M09,81.6582719091475
1995M10,80.16089223190711
1995M11,80.22145974133069
1995M12,80.42957580558004
1996M01,81.81653991627763
1996M02,82.86354804424856
1996M03,80.79731521826938
1996M04,80.36535518237456
1996M05,80.30835122904641
1996M06,79.60085293313807
1996M07,79.89872837143184
1996M08,79.80114985277378
1996M09,79.06544079290182
1996M10,78.87270625767337
1996M11,78.54833491384812
1996M12,79.86425500603416
1997M01,82.5953186146761
1997M02,86.75128225351152
1997M03,86.52597357959061
1997M04,86.93344371867336
1997M05,86.94270496352753
1997M06,87.42860527256119
1997M07,91.57593892170287
1997M08,94.25092546414814
1997M09,90.74608219663816
1997M10,88.7525058716081
1997M11,86.81664379285365
1997M12,88.40809205924141
1998M01,91.68163382960307
1998M02,92.23309998280583
1998M03,96.2939934265064
1998M04,98.18117469621184
1998M05,94.9306120590897
1998M06,93.91329840338976
1998M07,94.4125708494089
1998M08,95.00796669105817
1998M09,90.89605797450098
1998M10,87.55361747926288
1998M11,87.91849230783156
1998M12,86.71575017342246
1999M01,87.31912093574076
1999M02,90.39567332568632
1999M03,91.58765731737459
1999M04,93.82561712420181
1999M05,94.26616788847652
1999M06,96.3169497472342
1999M07,99.0478043212955
1999M08,97.40016565731786
1999M09,97.10756882896952
1999M10,95.7468158906402
1999M11,98.83530737074798
1999M12,100.7426270244606
2000M01,102.40205103679955
2000M02,106.95090607879558
2000M03,107.68276676570247
2000M04,109.43631456368067
2000M05,114.80277130540162
2000M06,110.77102877148832
2000M07,114.03960189658892
2000M08,118.515047914846
2000M09,121.63699079699478
2000M10,122.95891559376528
2000M11,122.66754821167832
2000M12,116.94400457484478
2001M01,114.24816180139263
2001M02,116.88412206329242
2001M03,116.46589583949185
2001M04,118.11283697288984
2001M05,120.53965087642857
2001M06,123.82214306761504
2001M07,124.59703431171131
2001M08,119.0637249530622
2001M09,115.98287327793689
2001M10,115.88359205830024
2001M11,117.82245097806481
2001M12,115.82879494683873
2002M01,117.54129108667209
2002M02,121.0619368256236
2002M03,117.95915568382604
2002M04,116.38270574937425
2002M05,112.44554720390171
2002M06,108.20315469733076
2002M07,106.11214469692976
2002M08,107.78311416058455
2002M09,105.63680545335204
2002M10,105.22812820580263
2002M11,103.08035107958837
2002M12,100.46966113858856
2003M01,97.23346588161901
2003M02,96.49780710911693
2003M03,94.64733526595813
2003M04,93.99055257270365
2003M05,87.53312710125697
2003M06,87.16691112405356
2003M07,91.25191931258685
2003M08,93.57476541289246
2003M09,91.46787204497853
2003M10,87.33312088708341
2003M11,86.87653061971919
2003M12,82.30023790253254
2004M01,81.07661607947276
2004M02,81.55390556794292
2004M03,82.60674368075897
2004M04,84.5465973826801
2004M05,84.51521892977183
2004M06,84.07774607027255
2004M07,84.64739096982419
2004M08,85.52790206191627
2004M09,83.73529824890359
2004M10,81.73280087777245
2004M11,78.53532010503503
2004M12,75.52482487428381
2005M01,77.14292283383621
2005M02,79.18252870863337
2005M03,76.92799344969198
2005M04,78.41039854973333
2005M05,79.61417379450198
2005M06,83.28547515551435
2005M07,85.60339844743388
2005M08,84.63819271560305
2005M09,84.0857187742082
2005M10,85.36869619618629
2005M11,86.50821727698414
2005M12,85.23654379291828
2006M01,84.23057560203542
2006M02,86.61348749170584
2006M03,84.5250085231636
2006M04,82.89574082050123
2006M05,79.92568190772205
2006M06,80.93574628006466
2006M07,81.48010826606068
2006M08,81.42992365667641
2006M09,80.2594337350605
2006M10,80.13852340607662
2006M11,78.42162915909871
2006M12,76.2076499411743
2007M01,77.92581048460957
2007M02,78.8915643972213
2007M03,76.83469901768169
2007M04,75.28866244867449
2007M05,75.58677763375809
2007M06,76.33428996304306
2007M07,75.22810264233581
2007M08,76.16835897405522
2007M09,73.4194618275116
2007M10,71.33849153717505
2007M11,69.03907350916951
2007M12,69.24365153835156
2008M01,69.07702995378855
2008M02,69.66948083008454
2008M03,65.25401197735539
2008M04,64.30126386430997
2008M05,65.19135965059674
2008M06,65.93156344386183
2008M07,65.87636452381032
2008M08,69.7774409911754
2008M09,71.21187715236535
2008M10,76.11496544328759
2008M11,78.23067241022525
2008M12,73.79472423084972
2009M01,75.52496005321751
2009M02,79.28774133510933
2009M03,76.40402281995958
2009M04,75.49608340376516
2009M05,73.0014783601397
2009M06,71.73785192444252
2009M07,71.7889858522628
2009M08,71.56540812957165
2009M09,68.86894934068168
2009M10,67.40733507032394
2009M11,66.68954019018712
2009M12,67.84008057102876
2010M01,70.20405966484165
2010M02,73.6181711488568
2010M03,72.28157941192298
2010M04,72.43334576627383
2010M05,76.75916554511119
2010M06,79.10128256990282
2010M07,76.03111007949559
2010M08,75.91483014618203
2010M09,73.55816890956947
2010M10,69.10363736144143
