DATE,France
1969M01,90.10826101135113
1969M02,90.32998060052881
1969M03,90.65996165575852
1969M04,90.73689965542809
1969M05,90.56431994616106
1969M06,90.78086813898199
1969M07,90.85630347721262
1969M08,102.3941889526963
1969M09,102.12317457328126
1969M10,102.05143321226173
1969M11,102.13437445244983
1969M12,102.37027900037333
1970M01,101.79989232159743
1970M02,102.02584677361786
1970M03,102.25049573193061
1970M04,102.53304140182614
1970M05,102.38567025929547
1970M06,102.50366515977028
1970M07,102.82592977895902
1970M08,102.41632360008789
1970M09,102.53302622391449
1970M10,102.64880632922718
1970M11,102.76367475562105
1970M12,102.97858707435542
1971M01,102.37580375500917
1971M02,102.13481441817915
1971M03,101.99468491338924
1971M04,101.65978736500051
1971M05,101.48372013041039
1971M06,101.85012599263442
1971M07,101.61755907426077
1971M08,101.48281857140526
1971M09,101.00637677926632
1971M10,100.68664503629087
1971M11,100.31205092061494
1971M12,97.44333261027349
1972M01,93.20712324710367
1972M02,91.70335431739008
1972M03,90.60639201741016
1972M04,90.49436383098316
1972M05,89.68235892719878
1972M06,89.5904884604836
1972M07,88.94038901034524
1972M08,88.67719069136706
1972M09,88.51536679887005
1972M10,88.33306212616604
1972M11,88.35304726036053
1972M12,88.97540315173859
1973M01,89.0095413891948
1973M02,83.77237479608694
1973M03,79.69969638813427
1973M04,80.41098889763828
1973M05,78.97743023068665
1973M06,75.0413771550785
1973M07,71.08377780930645
1973M08,75.25324513723278
1973M09,74.91651705277364
1973M10,74.08107552694769
1973M11,77.23731078243149
1973M12,80.57380661759443
1974M01,87.2299152464101
1974M02,85.97379599709893
1974M03,83.8063529281011
1974M04,83.68440907654097
1974M05,83.7209900113532
1974M06,83.99193035969542
1974M07,81.41186648729425
1974M08,81.91809065598098
1974M09,82.35667478746609
1974M10,80.97499064894956
1974M11,80.01265814064656
1974M12,77.22974731224836
1975M01,74.13257680143634
1975M02,72.6157499641842
1975M03,70.95073479168131
1975M04,70.60068472087558
1975M05,68.13306088470281
1975M06,67.14048404684785
1975M07,71.27897304414668
1975M08,73.46200198539675
1975M09,74.75383420876499
1975M10,73.58633302157729
1975M11,73.65126723628048
1975M12,74.33041680759816
1976M01,74.00302439262988
1976M02,73.59715594944298
1976M03,75.54625406986031
1976M04,75.98205082814303
1976M05,77.15274067052601
1976M06,78.86394436940316
1976M07,80.63088367115283
1976M08,79.66728558018595
1976M09,80.06404377016561
1976M10,79.89159485225267
1976M11,79.3826849551439
1976M12,79.06327116964732
1977M01,79.40228643067184
1977M02,79.66816413017234
1977M03,79.32315189069458
1977M04,78.64645544964432
1977M05,78.13957585655749
1977M06,76.63246416926962
1977M07,77.12892071873391
1977M08,77.27788921124608
1977M09,75.92862346740804
1977M10,75.56881137752636
1977M11,75.49976080058823
1977M12,74.60918454669293
1978M01,73.64247326382598
1978M02,75.44301298178215
1978M03,73.34979680511962
1978M04,71.11557175332274
1978M05,72.1789651985763
1978M06,71.32198913551505
1978M07,68.8414056276262
1978M08,67.50728458675796
1978M09,67.58481949952797
1978M10,65.39520155122666
1978M11,67.50580180447051
1978M12,66.86086527874514
1979M01,65.60444273966208
1979M02,66.55469496015417
1979M03,66.78489173765382
1979M04,67.82639291614768
1979M05,68.90174865429955
1979M06,68.31711163455357
1979M07,66.29485336122825
1979M08,66.55617572206624
1979M09,65.77317623270099
1979M10,65.5204479473578
1979M11,65.0742851962066
1979M12,63.83895446745714
1980M01,63.05572531917611
1980M02,64.21526215729776
1980M03,67.74820899117088
1980M04,68.13723556052189
1980M05,65.73405165758797
1980M06,64.88235180018685
1980M07,63.19929907838122
1980M08,64.42723066406867
1980M09,64.55224413015611
1980M10,65.71365437331932
1980M11,69.07004269728242
1980M12,70.91510125282471
1981M01,71.76593645936767
1981M02,76.9413736457764
1981M03,76.75127565601491
1981M04,78.36292148322066
1981M05,84.08592026947264
1981M06,86.60219072149057
1981M07,88.22579571743475
1981M08,90.54506238924006
1981M09,85.2674892400076
1981M10,84.06505992967709
1981M11,83.47757780503649
1981M12,84.88756470990462
1982M01,85.8636284349922
1982M02,88.07057401251609
1982M03,88.64308153912245
1982M04,89.45566454743611
1982M05,86.28578487857656
1982M06,94.97478062262093
1982M07,99.0695373408241
1982M08,99.97333123937219
1982M09,101.80641498425277
1982M10,102.8589819396165
1982M11,102.55685866429573
1982M12,96.3659550052045
1983M01,94.36226302649983
1983M02,95.34638769424326
1983M03,96.21110715690621
1983M04,99.9239834621478
1983M05,101.37435205754893
1983M06,104.22171153514516
1983M07,105.36509050510138
1983M08,108.59008159954621
1983M09,108.55172602019017
1983M10,106.5596722696127
1983M11,109.26496071994333
1983M12,111.79333352099401
1984M01,114.47584267103456
1984M02,110.7320278900445
1984M03,105.95236437639274
1984M04,107.27318674940678
1984M05,111.49016812252358
1984M06,110.89253026404693
1984M07,114.77960598787129
1984M08,116.18216681823979
1984M09,121.70619798877478
1984M10,123.08176729097403
1984M11,119.42321162757227
1984M12,123.47845549456129
1985M01,125.66083739126765
1985M02,130.39452913922375
1985M03,130.47873469928808
1985M04,121.1598629015504
1985M05,121.76777464570333
1985M06,119.97551193747668
1985M07,113.84716644100436
1985M08,109.29681924979634
1985M09,111.26151162280283
1985M10,103.73868203101289
1985M11,101.51413684003643
1985M12,99.21829325864786
1986M01,96.84602929757534
1986M02,92.43311314300769
1986M03,89.21710703804065
1986M04,91.78058647178376
1986M05,90.65845634421085
1986M06,91.13206446120327
1986M07,88.46647123226532
1986M08,85.96418841924775
1986M09,85.39872465571602
1986M10,83.60745949607913
