DATE,Iceland
1993M01,82.29142983518267
1993M02,83.43396893626313
1993M03,83.78988790299458
1993M04,81.27794082160457
1993M05,81.40932874401359
1993M06,84.16575701243154
1993M07,91.68312109290972
1993M08,90.90701445943783
1993M09,88.07777283984976
1993M10,88.62241143529066
1993M11,90.83882008602829
1993M12,91.71106282128972
1994M01,93.56121104126629
1994M02,93.7695150976832
1994M03,92.8178752822573
1994M04,92.91078991894034
1994M05,91.37482801252084
1994M06,90.60604912577072
1994M07,88.50085087477865
1994M08,88.98852441661145
1994M09,88.14326794526873
1994M10,87.24129351290065
1994M11,87.95688180083192
1994M12,89.53219007464787
1995M01,88.04448878304753
1995M02,86.43177786949676
1995M03,83.8001885042317
1995M04,82.62825758704071
1995M05,83.7830766598742
1995M06,83.06489702420345
1995M07,82.4868102456098
1995M08,84.96816060257952
1995M09,85.80142696916462
1995M10,84.3630573982914
1995M11,84.48853459733236
1995M12,85.5017629471426
1996M01,86.50437392218105
1996M02,86.73902685384203
1996M03,87.00979498677162
1996M04,88.00919896370279
1996M05,88.32815721646753
1996M06,88.30257995623386
1996M07,87.76264232489261
1996M08,86.72328152874172
1996M09,87.48161908758611
1996M10,88.10136105677734
1996M11,87.1120017661217
1996M12,88.59630405772653
1997M01,90.22828207134067
1997M02,93.28803282748858
1997M03,94.46730949734147
1997M04,93.9808570408333
1997M05,92.98241476094813
1997M06,93.20502246515849
1997M07,94.0358779244301
1997M08,95.9275557336063
1997M09,94.42967026242731
1997M10,94.12130277044068
1997M11,94.92128592335114
1997M12,94.42174291650888
1998M01,95.67428276626606
1998M02,95.2604219908147
1998M03,95.3673443835183
1998M04,94.711632024157
1998M05,93.67489524965521
1998M06,93.62119668292607
1998M07,94.27388530527787
1998M08,95.05015108533395
1998M09,92.86624065211481
1998M10,90.55839267732505
1998M11,92.44801046044532
1998M12,92.12048588998753
1999M01,91.49288019831101
1999M02,93.74517448468055
1999M03,95.13724631704427
1999M04,96.77469906806029
1999M05,97.23643116567601
1999M06,97.21987981052351
1999M07,97.41971562559841
1999M08,95.15814008074021
1999M09,94.36031231334769
1999M10,91.50393743193948
1999M11,92.83878505989155
1999M12,93.2014225511258
2000M01,92.50473108066473
2000M02,94.33076004565449
2000M03,95.10335708926667
2000M04,95.18823213158741
2000M05,98.2837786589798
2000M06,97.76307004684341
2000M07,100.00566390083637
2000M08,102.96871920222084
2000M09,107.24125776002037
2000M10,108.90136984975337
2000M11,111.52967198272458
2000M12,109.93044849272857
2001M01,108.99095910709691
2001M02,110.43185103851316
2001M03,112.68271417716856
2001M04,118.62509705465673
2001M05,126.68913917795214
2001M06,129.7989080395557
2001M07,123.43434928155722
2001M08,120.74995327839534
2001M09,122.18920822552238
2001M10,123.99244105348832
2001M11,129.42593511784756
2001M12,125.27146199927219
2002M01,121.62646519196967
2002M02,121.09711255783284
2002M03,121.28833591685742
2002M04,117.12702124136544
2002M05,110.6259839846754
2002M06,107.01510272113988
2002M07,102.65023054114886
2002M08,104.1984794524217
2002M09,105.54657351581788
2002M10,105.37258577421665
2002M11,103.63785556770932
2002M12,100.27174841384047
2003M01,95.51322877991369
2003M02,94.17435435883897
2003M03,94.20024396353503
2003M04,92.68599264988272
2003M05,87.71390481414181
2003M06,89.13375115936753
2003M07,93.04007979225786
2003M08,96.72726293000711
2003M09,95.57316394080195
2003M10,91.47118942301728
2003M11,90.58009471176756
2003M12,86.95245959476881
2004M01,83.02436761034409
2004M02,82.62297689076397
2004M03,85.70486215245859
2004M04,87.95963007848731
2004M05,88.09209033432835
2004M06,86.2205872406463
2004M07,85.72181187193719
2004M08,85.74308410169971
2004M09,85.88597213710435
2004M10,83.80160576289481
2004M11,80.0195457008068
2004M12,74.19999514460727
2005M01,74.20570620277535
2005M02,73.70631032862684
2005M03,71.27236206779718
2005M04,74.42369364165982
2005M05,77.75542808091643
2005M06,77.64936775113829
2005M07,77.8580803584746
2005M08,76.43741324877257
2005M09,74.31834359583385
2005M10,72.89066223448921
2005M11,75.18458002918271
2005M12,74.35310809564432
2006M01,73.82626101403748
2006M02,77.63604618331821
2006M03,83.40384995880936
2006M04,87.6286690816341
2006M05,83.3044507427253
2006M06,85.9534290186474
2006M07,85.43852965997428
2006M08,80.76632717141004
2006M09,79.61174715685587
2006M10,77.13963922646202
2006M11,77.81230814705303
2006M12,78.07855400178794
2007M01,78.959814107937
2007M02,76.00707236531343
2007M03,76.50996468729976
2007M04,74.5652707392329
2007M05,71.95377437273413
2007M06,71.35164643205596
2007M07,68.67685347871434
2007M08,73.56130970222485
2007M09,71.35689635764044
2007M10,67.72698651897016
2007M11,67.80632221330094
2007M12,68.91620238218621
2008M01,71.40389842831203
2008M02,73.03635222336918
2008M03,78.19414263636698
2008M04,78.69399681524649
2008M05,79.47431024024117
2008M06,83.74887492061248
2008M07,82.64546145724951
2008M08,84.94736698512116
2008M09,93.94703025786445
2008M10,113.88478701795616
2008M11,130.23334935949146
2008M12,116.29409532110263
2009M01,115.91013046510948
2009M02,106.61844577106555
2009M03,108.32407629397741
2009M04,119.38965879613625
2009M05,118.10058041287327
2009M06,117.79114682747138
2009M07,118.05637602978726
2009M08,117.51686110741211
2009M09,114.32824782396524
2009M10,112.5167491705814
2009M11,111.63137115529797
2009M12,112.10766849055872
2010M01,113.53477914578981
2010M02,114.37072558585353
2010M03,113.60730424063372
2010M04,113.49600746898511
2010M05,115.00479447863816
2010M06,114.33208228089788
2010M07,110.51300435851434
2010M08,106.84095048813242
2010M09,104.50895633795446
2010M10,99.32519565878346
