DATE,Poland
1993M01,121.10733463107084
1993M02,118.90325881019342
1993M03,120.58005683685896
1993M04,118.17673514082114
1993M05,117.48537822760356
1993M06,120.32215621548623
1993M07,122.92976168087813
1993M08,124.00700060857166
1993M09,128.53655828122223
1993M10,130.05198913992376
1993M11,128.78481441683658
1993M12,124.3277470060459
1994M01,125.30265374093193
1994M02,126.16663352493329
1994M03,124.61197247853954
1994M04,123.62470102745408
1994M05,122.16487298696984
1994M06,120.22674815486918
1994M07,118.87346046673605
1994M08,119.00561911227565
1994M09,115.11104189084726
1994M10,112.4936765224546
1994M11,112.67255741869863
1994M12,113.8749406029724
1995M01,109.83010610337976
1995M02,108.3756143891946
1995M03,104.69107717455924
1995M04,103.13239423861903
1995M05,101.03451886719002
1995M06,98.2228598621426
1995M07,100.38652340309955
1995M08,103.24715817041073
1995M09,101.18157853080321
1995M10,98.94754892025038
1995M11,98.7347223875567
1995M12,98.75423384720963
1996M01,96.10813444915875
1996M02,96.16676301278929
1996M03,96.79187437322192
1996M04,96.53952771896704
1996M05,97.22042507485295
1996M06,97.69898877324296
1996M07,98.03366850050149
1996M08,98.50016710568347
1996M09,98.69653163378071
1996M10,98.97617219501375
1996M11,97.88513767156503
1996M12,98.00983370838522
1997M01,97.95424799561957
1997M02,100.5097229605705
1997M03,101.59500752168135
1997M04,102.07875831417323
1997M05,103.09856751857217
1997M06,103.98576089301105
1997M07,109.54415409506662
1997M08,112.18380813621476
1997M09,110.22535484214995
1997M10,108.10264123327303
1997M11,109.30331231057407
1997M12,108.99990029880534
1998M01,106.1853573497961
1998M02,104.60308524346797
1998M03,101.82038180990064
1998M04,100.11599377125656
1998M05,99.94724762586287
1998M06,101.46794381159393
1998M07,101.36466409026595
1998M08,105.9243988317357
1998M09,105.76971544519631
1998M10,102.19849316252176
1998M11,93.58631513739378
1998M12,101.02018435072672
1999M01,101.19665770880421
1999M02,107.86096206473566
1999M03,111.33588436076218
1999M04,112.96688841950386
1999M05,110.5346768844082
1999M06,110.29094774479364
1999M07,109.29964807938067
1999M08,110.92502923389755
1999M09,113.50103048645826
1999M10,113.31091699151942
1999M11,116.24253076788297
1999M12,113.09195419862303
2000M01,109.55921103192878
2000M02,110.36847853475076
2000M03,108.92698276635394
2000M04,112.26403897977099
2000M05,118.72638205728089
2000M06,115.88034476898366
2000M07,113.24469114420671
2000M08,114.63476907396492
2000M09,117.49734096025924
2000M10,120.68025700485336
2000M11,118.20508272892886
2000M12,111.44312455891024
2001M01,106.11776600124001
2001M02,105.92129291205909
2001M03,104.8779253902541
2001M04,103.46285679325672
2001M05,101.73393172773305
2001M06,101.74545199758882
2001M07,107.38572502584297
2001M08,109.23320514675599
2001M09,108.64205390955561
2001M10,105.56812513455715
2001M11,104.27099504504432
2001M12,101.63683959582569
2002M01,102.272817566488
2002M02,105.8661668749555
2002M03,104.9958300805701
2002M04,103.06431715000036
2002M05,103.00085885843232
2002M06,102.67502833055708
2002M07,105.83792742257128
2002M08,108.14087486848281
2002M09,107.24147941777785
2002M10,106.34453891785732
2002M11,102.31000036511465
2002M12,100.70139729822023
2003M01,98.70926020922869
2003M02,100.15594970909765
2003M03,104.12231775986889
2003M04,102.66729487219024
2003M05,97.0641291560335
2003M06,98.55652042486264
2003M07,101.8965760642589
2003M08,102.92796577492824
2003M09,104.35721677352882
2003M10,102.10521384252112
2003M11,102.32562942183094
2003M12,97.89441752269651
2004M01,96.97835478227609
2004M02,100.01062417127876
2004M03,101.42306631365877
2004M04,102.73662133893993
2004M05,101.80422761807142
2004M06,97.36824474168792
2004M07,93.4495748441758
2004M08,93.91557283004396
2004M09,92.31565949933072
2004M10,89.651724882917
2004M11,84.32012581049949
2004M12,79.33083310014696
2005M01,79.42766560494768
2005M02,79.44029575016994
2005M03,79.21202305851594
2005M04,83.56062074416096
2005M05,85.33094539809592
2005M06,86.82398266432152
2005M07,88.94831245880683
2005M08,86.58694141437405
2005M09,84.8751895397154
2005M10,86.26387282770933
2005M11,88.6124676585951
2005M12,85.25967857842885
2006M01,83.37686872765703
2006M02,83.8094351017344
2006M03,85.68901631711503
2006M04,85.36450507262975
2006M05,81.27769712954971
2006M06,84.8963004881314
2006M07,84.52561631158623
2006M08,81.75810344804975
2006M09,83.14153444856788
2006M10,81.97725741868703
2006M11,78.59825321066954
2006M12,76.6712860647267
2007M01,78.9856191052327
2007M02,79.17258848964343
