DATE,Italy
1993M01,83.02352650484409
1993M02,86.14612281031107
1993M03,88.51845221575962
1993M04,85.27500970873795
1993M05,81.83547173424029
1993M06,82.74620927464312
1993M07,87.03189390540717
1993M08,88.42007188146736
1993M09,86.33502494102329
1993M10,89.42876184481867
1993M11,91.51849137364654
1993M12,92.5407170153327
1994M01,92.90541269620623
1994M02,92.08784292095828
1994M03,91.14036523619909
1994M04,88.8663119063011
1994M05,86.68199402894342
1994M06,86.68139373874898
1994M07,85.210499045943
1994M08,86.40198594863617
1994M09,85.52493791401704
1994M10,84.15552151170918
1994M11,85.88336804026667
1994M12,88.31767676564837
1995M01,87.00011150373138
1995M02,87.22380359396443
1995M03,90.58173325419872
1995M04,91.74917652402539
1995M05,88.10441552034884
1995M06,87.021253804846
1995M07,85.33591028253888
1995M08,85.0652112819501
1995M09,85.5504304492478
1995M10,84.99796099316389
1995M11,83.86015447316834
1995M12,83.71942509756488
1996M01,83.29855888660958
1996M02,82.64585269957655
1996M03,82.27106820965781
1996M04,82.39110344688771
1996M05,81.82657553516322
1996M06,80.89931592538099
1996M07,80.31552917180356
1996M08,79.85738289459009
1996M09,80.22710886199833
1996M10,80.65605453057094
1996M11,79.8736504412402
1996M12,80.60288693147349
1997M01,82.7214688274627
1997M02,87.50916308077495
1997M03,89.50528363622425
1997M04,89.49492562391897
1997M05,88.6366576371418
1997M06,89.40834759765274
1997M07,92.12004436819318
1997M08,95.09283696018626
1997M09,92.45204313094678
1997M10,91.09900389362515
1997M11,89.44910642710677
1997M12,91.7168223224316
1998M01,94.00413251009284
1998M02,94.07785863708148
1998M03,94.38377086351855
1998M04,94.16819242051189
1998M05,91.93078619901573
1998M06,92.7438212838721
1998M07,93.27274048151114
1998M08,92.82143856462177
1998M09,88.34381180622822
1998M10,85.48784235979825
1998M11,87.60425500322307
1998M12,86.93809023309932
1999M01,87.85401953768228
1999M02,90.96104643143735
1999M03,93.78084860808112
1999M04,95.77682484485854
1999M05,96.28993675769722
1999M06,98.6099692453565
1999M07,98.9068941083469
1999M08,96.6858318782003
1999M09,97.92218028232838
1999M10,95.86505061589855
1999M11,99.16581475188879
1999M12,101.32636463015164
2000M01,101.16978321752586
2000M02,104.51158793914067
2000M03,107.16240233605305
2000M04,109.12834089263572
2000M05,113.77799231847317
2000M06,108.86785079843264
2000M07,110.03300360024627
2000M08,114.26083756527338
2000M09,118.87383112215937
