DATE,Turkey
1993M01,80.93115179901758
1993M02,78.10886578353329
1993M03,74.81487124565469
1993M04,71.8709961195259
1993M05,68.72537091307115
1993M06,67.58199982412332
1993M07,64.43628051996129
1993M08,62.93409382239747
1993M09,59.72499790460608
1993M10,56.10555212637623
1993M11,52.769807078245535
1993M12,50.92678518380868
1994M01,48.91007901054405
1994M02,92.15398497456567
1994M03,87.38042064871756
1994M04,106.37435890786215
1994M05,98.33427353497274
1994M06,96.77399576544408
1994M07,94.08930620502365
1994M08,91.86056273223065
1994M09,86.73765675660285
1994M10,80.91740157742316
1994M11,101.57935346204013
1994M12,94.93676780515403
1995M01,89.03690098669165
1995M02,85.2386760847069
1995M03,81.8260862352442
1995M04,77.57857739234315
1995M05,75.23869064211188
1995M06,73.49282958469271
1995M07,71.30318798282198
1995M08,85.65091469298885
1995M09,79.69492426441889
1995M10,75.2048864679726
1995M11,71.77083475875791
1995M12,82.94373055680235
1996M01,77.03213418970776
1996M02,73.94754478259019
1996M03,82.11535565203738
1996M04,77.25282540567497
1996M05,84.63647200885976
1996M06,82.59587969655443
1996M07,81.02223477341026
1996M08,86.8332706942396
1996M09,82.40130150784613
1996M10,77.6316753746659
1996M11,82.16728385931164
1996M12,79.45825840506883
1997M01,82.81494527502487
1997M02,85.77446952903573
1997M03,81.58668671180817
1997M04,83.00386671045446
1997M05,85.32970955117742
1997M06,83.04801077027713
1997M07,83.84277083795142
1997M08,84.37054153518332
1997M09,83.74492237599519
1997M10,82.05781185054344
1997M11,81.18199677594001
1997M12,81.17851164341567
1998M01,79.6465600490089
1998M02,80.05875638850023
1998M03,83.88972267051467
1998M04,83.64552309149774
1998M05,80.96465158816932
1998M06,82.30354360697939
1998M07,82.79451593702831
1998M08,79.74341854121029
1998M09,77.58586584540296
1998M10,73.33732785469387
1998M11,72.83007730992273
1998M12,75.33020059186921
1999M01,74.37773448863112
1999M02,76.68908142814269
1999M03,78.27369582329527
1999M04,79.36050420836504
1999M05,81.15087677281454
1999M06,80.55919697382743
1999M07,81.62598833718212
1999M08,80.34533546437189
1999M09,77.90157671564374
1999M10,76.65941135436063
1999M11,78.31054697022648
1999M12,78.34951298558377
2000M01,77.77086132408543
2000M02,76.80930770842393
2000M03,77.9328061563574
2000M04,78.83492930536256
2000M05,79.78809246544375
2000M06,79.66658304407957
2000M07,79.35762250753851
2000M08,80.13616710131154
2000M09,79.35275292970819
2000M10,79.43703147872726
2000M11,76.63797326527742
2000M12,74.75058827764207
2001M01,72.30480111639426
2001M02,80.88970515495664
2001M03,96.54697373441658
2001M04,109.81427537302085
2001M05,98.87902727250427
2001M06,102.83593775544054
2001M07,109.2538155034225
2001M08,112.5669758488304
2001M09,112.12548229170334
2001M10,114.66741462805915
2001M11,104.34076750866267
2001M12,96.04602357987181
2002M01,86.3585396582643
2002M02,83.96197538559178
2002M03,83.44134587507644
2002M04,80.39104354253828
2002M05,84.1666722559716
2002M06,92.15748586960339
2002M07,98.08216417426759
2002M08,95.72167155878414
2002M09,93.22352850290906
2002M10,90.40663920968424
2002M11,85.18658054496716
2002M12,83.10118906612782
2003M01,84.94489176518223
2003M02,82.77717399677657
2003M03,83.1735631389915
2003M04,80.2002691603779
2003M05,73.43426919241858
2003M06,69.53793542347762
2003M07,69.74600214805142
2003M08,68.91506589290468
2003M09,66.7570968345363
2003M10,68.96643439456057
2003M11,69.81742856806402
2003M12,67.55730959481384
2004M01,63.66740698607726
2004M02,62.739623806638726
2004M03,62.074084305198845
2004M04,63.841754413102954
2004M05,70.992351221446
2004M06,70.36609266622025
2004M07,68.04508560794245
2004M08,68.4986266735985
2004M09,69.38565538238893
2004M10,67.7646178388437
2004M11,65.12543550941018
2004M12,62.45119846493919
2005M01,60.01530793503837
2005M02,58.56277079836491
2005M03,58.86654749782397
2005M04,61.08806253305621
2005M05,60.91557114569716
2005M06,60.439884076765864
2005M07,59.72271069366315
2005M08,59.96851177234911
2005M09,60.08574447338222
2005M10,59.58835972715891
2005M11,58.72365324995777
2005M12,57.814455880863086
2006M01,56.96478218584672
2006M02,56.52700656188135
2006M03,57.113740235625144
2006M04,56.839875038495535
2006M05,60.286236434418406
2006M06,64.8344201210675
2006M07,64.89844699264732
2006M08,61.52063417638185
2006M09,61.27000974475673
2006M10,59.767637997500636
2006M11,58.11662663061853
2006M12,57.26804247594129
2007M01,56.4742721686935
2007M02,55.340638695051744
2007M03,55.735614391108726
2007M04,53.84563021125182
2007M05,52.71479488402985
2007M06,52.54742271935851
2007M07,51.31682419844382
2007M08,52.41190768022287
2007M09,50.03452544776477
2007M10,46.512824058804
2007M11,45.894807986707036
2007M12,44.99420466075911
2008M01,44.85780765034266
2008M02,45.17299964618833
2008M03,47.02722620897891
2008M04,48.78365450008994
2008M05,46.606873241898114
2008M06,46.49119843900627
2008M07,45.712092004437665
2008M08,44.50963507046536
2008M09,46.498184467539865
2008M10,53.54463042387948
2008M11,55.956732082992104
2008M12,53.85719849347781
2009M01,55.688164127179185
2009M02,58.62938104269707
2009M03,59.88120261201777
2009M04,56.1586728728985
2009M05,54.21316068060941
2009M06,54.26622302046989
2009M07,53.34266958399889
2009M08,52.21161398057025
2009M09,52.391927869660144
2009M10,50.521122627676895
2009M11,50.26308386083003
2009M12,50.584809033897955
2010M01,48.83952088927443
2010M02,49.79247188120464
2010M03,50.034026624511355
2010M04,48.52101531728145
2010M05,50.368523986736555
2010M06,51.589360679176735
2010M07,50.85843649987357
2010M08,49.73611462968254
2010M09,48.510834693239175
2010M10,45.456745134025475
