DATE,Ireland
1993M01,78.6194572143861
1993M02,87.94866004234426
1993M03,83.0644310061754
1993M04,80.81988960576108
1993M05,86.15356779300541
1993M06,88.88739470549648
1993M07,91.94017097228706
1993M08,93.49337194505294
1993M09,91.08465496515375
1993M10,91.17681406410075
1993M11,92.54281240985482
1993M12,92.54281240985482
1994M01,90.92408193836029
1994M02,91.23503980892293
1994M03,91.54599767948555
1994M04,90.96738678464102
1994M05,88.42826996771745
1994M06,87.42320288939351
1994M07,84.39557522418238
1994M08,86.04044026603486
1994M09,84.96427857004677
1994M10,82.27987775498049
1994M11,83.69772817445701
1994M12,85.00550517718291
1995M01,83.39945526074295
1995M02,83.7323872108679
1995M03,82.69717690500514
1995M04,79.49697290262101
1995M05,80.95978104391898
1995M06,79.81098333367856
1995M07,79.455213559312
1995M08,80.96958167480297
1995M09,82.43697276950712
1995M10,81.27246740336697
1995M11,81.21959007103551
1995M12,82.47585325503152
1996M01,82.5918055563033
1996M02,82.85926606480959
1996M03,84.60922198120745
1996M04,84.56055448266302
1996M05,84.72285881828566
1996M06,83.45232025163428
1996M07,81.92348525892805
1996M08,82.08002695860809
1996M09,82.34092977623718
1996M10,82.1208901243271
1996M11,79.62243905936859
1996M12,79.62243905936859
1997M01,81.56558952206403
1997M02,84.006791882438
1997M03,85.42830343097145
1997M04,85.53508881190469
1997M05,87.89448593730296
1997M06,87.74696294973691
1997M07,89.31818171070042
1997M08,92.29145613257718
1997M09,90.78082313403017
1997M10,90.74114806733503
1997M11,89.09202804596167
1997M12,91.37263481786047
1998M01,96.07886265953121
1998M02,97.16981049336523
1998M03,96.78877141436115
1998M04,95.22781537518979
1998M05,92.35600491204848
1998M06,93.39021295774667
1998M07,93.6379999017627
1998M08,93.61939139797853
1998M09,89.39191655961754
1998M10,86.97487637969432
1998M11,89.86505391779366
1998M12,88.61539320585146
1999M01,90.71496880083336
1999M02,93.55883670407272
1999M03,96.36105142407
1999M04,98.12368811965673
1999M05,98.4118348534815
1999M06,100.49993317056142
1999M07,101.3626092885155
1999M08,98.62078872468304
1999M09,99.78366954691283
1999M10,97.90470685156062
1999M11,101.31720558727042
1999M12,102.335056827469
2000M01,102.64326666943002
2000M02,105.5414111048697
2000M03,107.77178811823356
2000M04,109.1057504295568
2000M05,113.24338901391698
2000M06,107.92288167230446
2000M07,108.98144129161186
2000M08,112.6712485178679
2000M09,116.96449854173918
2000M10,118.72435795242352
2000M11,118.12648989231435
2000M12,112.71085728359057
2001M01,109.29278536459856
2001M02,110.68805478799086
2001M03,111.58496672657591
2001M04,113.2064761055002
2001M05,115.28451124719152
2001M06,117.699988673707
2001M07,116.66312455333755
2001M08,111.22810316712871
2001M09,109.86471072489412
2001M10,109.84235996183774
2001M11,111.7988309603973
2001M12,110.38869602864274
2002M01,111.85978760829876
2002M02,113.28355532859781
2002M03,112.19785987954123
2002M04,110.59878888354554
2002M05,106.19751647224896
2002M06,101.8841822764027
2002M07,98.6753301307617
2002M08,99.8462184552389
2002M09,99.22574890012326
2002M10,98.8783699938479
2002M11,96.7650801914398
2002M12,94.29166887473224
2003M01,91.11265367806641
2003M02,89.65551519271469
2003M03,89.30085687962094
2003M04,88.55495836265138
2003M05,82.91148788125106
2003M06,82.31655466013382
2003M07,85.10923158686151
2003M08,86.7291097357982
2003M09,86.29040562982742
2003M10,82.68575183127174
2003M11,82.40902552336894
2003M12,78.13038182572419
2004M01,76.8232914310499
2004M02,76.40993197023833
2004M03,78.94533639209817
2004M04,80.84275342408273
2004M05,80.97937351859704
2004M06,79.86324053197873
2004M07,79.21455490340293
2004M08,79.29468579482132
2004M09,79.18653466946604
2004M10,77.79478588138922
2004M11,74.65489909184522
2004M12,71.98578475390718
2005M01,74.3878119155946
2005M02,74.74960498702852
2005M03,74.10286762597994
2005M04,75.76455456476384
2005M05,76.89262252154151
2005M06,79.9977442327632
2005M07,81.30628741726976
2005M08,79.67274507939953
2005M09,80.17929937451365
2005M10,81.94533084883237
2005M11,82.96129832043906
2005M12,82.2246522554227
2006M01,81.43240851468717
2006M02,81.80899929815543
2006M03,81.3464297647244
2006M04,79.6670339955423
2006M05,76.59871755107264
2006M06,77.31194164130146
2006M07,77.08225819853773
2006M08,75.97149139046677
2006M09,75.75635565962591
2006M10,76.14057204048905
2006M11,74.12333170777511
2006M12,72.05822443187434
2007M01,73.62672305683034
2007M02,72.97433165890355
2007M03,72.17620910178461
2007M04,70.65640254500404
2007M05,70.8181593023428
2007M06,71.29947286782438
2007M07,69.52399813601573
2007M08,69.58781817347798
2007M09,68.20339654673047
2007M10,66.61452861350908
2007M11,64.60156272205506
2007M12,64.9959020595077
2008M01,64.98953852444141
2008M02,64.20388594773358
2008M03,60.967346589661304
2008M04,60.397866337211134
2008M05,61.2392061919597
2008M06,61.56956336587612
2008M07,61.160196985694334
2008M08,63.92234539617001
2008M09,66.3175779813227
2008M10,71.02318079166174
2008M11,73.44715551722054
2008M12,69.85431598661641
2009M01,72.30354138969547
2009M02,75.51922839579244
2009M03,74.29978261770324
2009M04,74.1672013026284
2009M05,72.25747855142826
2009M06,71.17887307770096
2009M07,71.22180562081645
2009M08,70.25831822338108
2009M09,69.10626004481222
2009M10,68.12227966897245
2009M11,67.73243363500198
2009M12,69.3760588121734
2010M01,71.6409096610866
2010M02,74.41058731438265
2010M03,75.35979973604091
2010M04,76.16660801934576
2010M05,80.93565537357894
2010M06,83.2729855830126
2010M07,79.6571911794754
2010M08,78.41029708678411
2010M09,77.59982654410642
2010M10,72.94029324700077
2010M11,74.42626694316418
