DATE,Germany
1969M01,117.84927233050517
1969M02,117.97017438818078
1969M03,118.68780364548827
1969M04,119.34535381431716
1969M05,119.40212969683631
1969M06,120.05818536472957
1969M07,120.71424103262281
1969M08,121.64677936937264
1969M09,121.97555441794151
1969M10,122.35438016659178
1969M11,112.2993113423046
1969M12,112.13541901023551
1970M01,111.18084317142797
1970M02,111.5207144051102
1970M03,111.61162906791647
1970M04,111.99259485396887
1970M05,112.2834847469782
1970M06,112.61719757617941
1970M07,113.19769860342183
1970M08,113.19769860342183
1970M09,113.77819956737352
1970M10,113.85824024330392
1970M11,113.9375834183217
1970M12,113.76943839259238
1971M01,112.5513315524922
1971M02,111.87586498208768
1971M03,111.6820365425923
1971M04,111.25560709101853
1971M05,108.22270401405635
1971M06,107.34975384405804
1971M07,106.25072692427851
1971M08,104.67537510731137
1971M09,102.62562903912537
1971M10,101.53728043379562
1971M11,101.32791562057561
1971M12,105.66853748507884
1972M01,97.16297709781314
1972M02,96.03708679634903
1972M03,95.08972289961842
1972M04,95.23763166484453
1972M05,95.4671199624942
1972M06,95.01562463487572
1972M07,94.41782454554149
1972M08,95.54167645834123
1972M09,94.83206648973892
1972M10,95.50616848653706
1972M11,94.87884838908859
1972M12,94.7354390078787
1973M01,93.87104221820194
1973M02,88.41308293902024
1973M03,83.26896141137499
1973M04,83.66945150463283
1973M05,82.14663408077452
1973M06,76.05855111212871
1973M07,68.59037931019266
1973M08,72.52629051562194
1973M09,72.6871026746304
1973M10,72.49330860173518
1973M11,77.13046993152152
1973M12,79.02771990656025
1974M01,83.92420350872217
1974M02,81.25802858912337
1974M03,79.41823193232752
1974M04,76.17115526570349
1974M05,74.89488792189813
1974M06,77.39129098462219
1974M07,78.36867614526402
1974M08,81.3576702380403
1974M09,83.44733563950815
1974M10,81.4941521328575
1974M11,79.37050304210761
1974M12,77.95039584900832
1975M01,74.31538956234762
1975M02,73.5643409952159
1975M03,73.16184914716308
1975M04,74.40528244374867
1975M05,73.83148887091224
1975M06,73.4688651014522
1975M07,78.41857099339057
1975M08,82.19546345527613
1975M09,83.52352033419986
1975M10,82.56667741102245
1975M11,83.22171049555106
1975M12,84.21890938120745
1976M01,83.05998113285838
1976M02,81.55686114214139
1976M03,81.44527030141523
1976M04,80.71616320338524
1976M05,81.80334589355442
1976M06,82.75049292900559
1976M07,82.99499168404391
1976M08,81.87584861763074
1976M09,80.735984313562
1976M10,79.07753476583419
1976M11,78.31816849862395
1976M12,77.69476597868541
1977M01,77.25809060891751
1977M02,78.0186225186632
1977M03,78.10032870815418
1977M04,77.74259545869603
1977M05,77.56659737182721
1977M06,77.39951382215315
1977M07,75.5787939322718
1977M08,77.15688437028128
1977M09,77.2926211567133
1977M10,76.20741643797246
1977M11,75.12211954175753
1977M12,72.1202016702638
1978M01,71.04020378092974
1978M02,69.93806809015068
1978M03,68.59618957555864
1978M04,69.17122827032775
1978M05,72.11048281217477
1978M06,71.64627430007265
1978M07,71.25874544244111
1978M08,69.94073061436728
1978M09,69.51560927064281
1978M10,65.417896685715
1978M11,67.6544204850922
1978M12,67.04390045376972
1979M01,65.88548553262045
1979M02,66.82437055568482
1979M03,67.11448790162781
1979M04,68.68340754894379
1979M05,70.09506909377961
1979M06,69.37134232102055
1979M07,67.51845731286932
1979M08,68.443274086836
1979M09,67.7654955963371
1979M10,67.83615792266868
1979M11,67.32648177834704
1979M12,66.31437502835249
1980M01,66.50814212823836
1980M02,67.78461485886118
1980M03,72.45214060328966
1980M04,73.65903772828804
1980M05,70.8224423686958
1980M06,70.61232592359025
1980M07,69.7212320519495
1980M08,71.73649338133089
1980M09,72.33932105664647
1980M10,74.96820049044896
1980M11,78.35179316298995
1980M12,80.505466852542
1981M01,82.05260450406465
1981M02,87.57986626659475
1981M03,86.27362397390036
1981M04,88.46370630270259
1981M05,94.04554246086492
1981M06,98.23885621332474
1981M07,101.1883105383178
1981M08,104.20734475085196
1981M09,98.83613478851575
1981M10,93.9635088293626
1981M11,92.54970976251781
1981M12,94.28641650662712
1982M01,95.02474161561442
1982M02,98.53707708615867
1982M03,98.84824403726397
1982M04,99.73637996573964
1982M05,96.20613582969251
1982M06,101.37231541640364
1982M07,103.03002648030063
1982M08,104.20477084587871
1982M09,104.88515282526674
1982M10,105.96563289783867
1982M11,106.75138837535991
1982M12,100.26506336147798
1983M01,98.76026444128242
1983M02,100.51582784768462
1983M03,99.68853708350613
1983M04,101.41363905060908
1983M05,103.04446795327
1983M06,106.33187233435892
1983M07,108.05748843929355
1983M08,111.34308556080411
1983M09,111.64114360394703
1983M10,109.03809776716969
1983M11,112.35709534790537
1983M12,115.14133956932695
1984M01,117.9450686923685
1984M02,113.4953956461634
1984M03,109.38087955574044
1984M04,111.47822260751629
1984M05,116.32899519362918
1984M06,115.84822540697299
1984M07,121.10070853452429
1984M08,123.55174325823688
1984M09,129.5802819786658
1984M10,131.35818090487862
1984M11,127.79127278169179
1984M12,132.34374899053526
1985M01,134.83170426456607
1985M02,139.97336210072305
1985M03,140.88556188932796
1985M04,131.56611584524157
1985M05,133.34469512235376
1985M06,131.5677142088479
1985M07,125.78163741583357
1985M08,120.80608883213623
1985M09,123.17579052410336
1985M10,114.79694683812994
1985M11,112.80851798666379
1985M12,109.50370482864794
1986M01,106.38893484295392
1986M02,101.4264615638605
1986M03,98.25461680393661
1986M04,98.50795745645038
1986M05,97.03946076958866
1986M06,98.01166551294706
1986M07,94.38727419616522
1986M08,90.90437226110735
1986M09,90.33140604874872
1986M10,88.93768284735158
1986M11,90.4546614029303
