DATE,"Korea, Republic of"
1993M01,81.60568272702423
1993M02,81.81417487144961
1993M03,80.73642954947796
1993M04,80.75610448718194
1993M05,81.0211401268558
1993M06,81.00696344210014
1993M07,81.42796055977158
1993M08,81.79194289176716
1993M09,81.39715907414424
1993M10,81.56930741845314
1993M11,81.44566579573538
1993M12,81.2146145145781
1994M01,80.50581767350207
1994M02,79.36375803621726
1994M03,79.20673001250137
1994M04,79.27032553712431
1994M05,79.0665853509696
1994M06,78.79134009324149
1994M07,78.18909632258047
1994M08,77.74666767566617
1994M09,77.92879842737138
1994M10,78.02989285148509
1994M11,77.77328218201669
1994M12,77.27701188984207
1995M01,76.73337926920426
1995M02,76.7689240483675
1995M03,75.06793430054576
1995M04,73.78837409152356
1995M05,73.20311860849638
1995M06,73.52755798582423
1995M07,72.92067894568022
1995M08,73.72691405058909
1995M09,73.63542876622874
1995M10,73.76428837959705
1995M11,74.05653942348304
1995M12,73.65830525406479
1996M01,74.90788516337713
1996M02,74.19134428865496
1996M03,74.16356612827872
1996M04,73.87292072303396
1996M05,73.56569973858528
1996M06,75.29221106309161
1996M07,76.47104551464518
1996M08,76.6367709128708
1996M09,77.19863606107589
1996M10,77.99455332116827
1996M11,78.19146162989993
1996M12,78.92380844145013
1997M01,79.59737193732613
1997M02,80.99015780165911
1997M03,83.63247756112253
1997M04,83.10670328398786
1997M05,82.83806726074481
1997M06,82.55276010630094
1997M07,82.59765878201829
1997M08,82.64953748790737
1997M09,83.73267712205404
1997M10,85.07746232633167
1997M11,94.5094910758944
1997M12,133.22132083063596
1998M01,149.46901196082698
1998M02,140.74100962279653
1998M03,129.2702792668839
1998M04,120.35546865420946
1998M05,122.22305532546315
1998M06,122.46731121485904
1998M07,113.69496652992719
1998M08,115.0604617225932
1998M09,119.99798786750421
1998M10,116.71382690246664
1998M11,113.07256647015302
1998M12,106.29025035738354
1999M01,103.33946746161443
1999M02,104.34914680196925
1999M03,107.98305390830234
1999M04,106.46123666487026
1999M05,105.8427522063507
1999M06,103.95184702593257
1999M07,106.33243744056553
1999M08,106.43810347367334
1999M09,106.77336909751726
1999M10,106.70240925657836
1999M11,104.35715161509509
1999M12,101.07106941778385
2000M01,100.32241503104602
2000M02,100.51791080689883
2000M03,99.63068152035086
2000M04,99.57509394345257
2000M05,101.2214970876746
2000M06,100.90607789542625
2000M07,100.48970591591944
2000M08,99.91331863556879
2000M09,99.41170574500879
2000M10,100.73639619688976
2000M11,103.81478036085319
2000M12,108.74053837004979
2001M01,113.20791848218312
2001M02,111.34738635980109
2001M03,114.11384402209013
2001M04,117.11958922250035
2001M05,115.22810043272156
2001M06,114.90290897354093
2001M07,115.06153822198786
2001M08,113.05963437975228
2001M09,114.59675081029069
2001M10,114.85920470883363
2001M11,113.51966813315026
2001M12,113.70381089705889
2002M01,115.51484715427678
2002M02,115.6704602168787
2002M03,115.91543803587462
2002M04,115.44991515147336
2002M05,110.12683895744793
2002M06,106.84866700298014
2002M07,104.00982725054754
2002M08,104.79258086646209
2002M09,105.47457757238618
2002M10,108.6102847104902
