DATE,Portugal
1993M01,82.49827290115691
1993M02,84.51223648460918
1993M03,85.92459148385882
1993M04,83.29869532885536
1993M05,85.18563189153986
1993M06,88.18623555603943
1993M07,93.20441905160436
1993M08,96.55823370372711
1993M09,92.50125324943325
1993M10,94.0785510452126
1993M11,96.10235228919792
1993M12,96.2372448714756
1994M01,96.16087242713712
1994M02,95.5858632277858
1994M03,94.95723420487374
1994M04,94.20948762691057
1994M05,92.80971875486132
1994M06,91.47279160976125
1994M07,87.76406487440896
1994M08,87.10070251731389
1994M09,86.30478017282972
1994M10,84.50643113814432
1994M11,85.55363422193707
1994M12,87.43045669980619
1995M01,84.81520894267909
1995M02,83.34758404437697
1995M03,81.83952745576941
1995M04,82.61279243356327
1995M05,79.54322645271773
1995M06,79.45582121349752
1995M07,78.55832574225761
1995M08,80.44840293132575
1995M09,81.89478640031592
1995M10,80.01596626467955
1995M11,79.60694409780965
1995M12,81.04910554429739
1996M01,81.50603562735259
1996M02,81.73170983887732
1996M03,82.13813973220422
1996M04,82.65330627921745
1996M05,84.12941370367041
1996M06,83.99236424030116
1996M07,82.75086854980529
1996M08,81.3102974883111
1996M09,82.42395090034161
1996M10,83.07494926163929
1996M11,82.18594941650626
1996M12,84.20065318147466
1997M01,85.961783067971
1997M02,90.33219980283333
1997M03,91.66534708435093
1997M04,92.21306195531508
1997M05,91.57765854429266
1997M06,93.49321811769416
1997M07,97.02702220377107
1997M08,99.82499371691799
1997M09,97.54514383336974
1997M10,96.30118793458468
1997M11,94.7467963299428
1997M12,96.92061545013256
1998M01,99.21258831453139
1998M02,99.43609102056723
1998M03,99.95667145128277
1998M04,98.88877877227532
1998M05,96.2441535687204
1998M06,97.1284892471441
1998M07,97.32620505914194
1998M08,96.96803317128733
1998M09,92.73212431233304
1998M10,89.09039035133463
1998M11,90.2531907649173
1998M12,89.88101034179245
1999M01,91.28300444345965
1999M02,94.65416704049657
1999M03,97.35125172844036
1999M04,99.06574046017734
1999M05,99.6599814094067
1999M06,101.90494072178788
1999M07,102.51388456715728
1999M08,100.45950654897717
1999M09,101.95150975565089
1999M10,99.8968766488753
1999M11,102.92313697167506
1999M12,104.99894466987169
2000M01,105.2315409876347
2000M02,109.34756599243225
2000M03,112.25266912621349
2000M04,113.09530016964965
2000M05,117.67184905372295
2000M06,112.33187397887482
2000M07,113.36272954595864
2000M08,117.77662241039974
2000M09,122.85918704947609
2000M10,125.01775585594133
2000M11,123.89650054451576
2000M12,117.77832130587316
2001M01,112.90009050537489
2001M02,115.24861989459114
2001M03,116.5762224850056
2001M04,118.6672036521673
2001M05,120.60876410694217
2001M06,123.43891230229578
2001M07,121.90525812661059
2001M08,116.74510461984266
2001M09,115.93699226492218
2001M10,115.75622484183145
2001M11,117.03995369270676
2001M12,115.91567238055156
2002M01,117.12658762385168
2002M02,119.56396449771427
2002M03,118.93356960685514
2002M04,117.29571354935032
2002M05,112.57183352711264
2002M06,107.78268258538397
2002M07,103.70474778924056
2002M08,105.49580740262743
2002M09,105.40911368185698
2002M10,104.86956747057319
2002M11,102.01157932443293
2002M12,99.97950911543063
2003M01,96.12251218081653
2003M02,95.50231490454681
2003M03,95.73130109637485
2003M04,94.42820309661569
2003M05,87.81248119990664
2003M06,87.2886897200378
2003M07,89.88037623718505
2003M08,92.08580546590704
2003M09,91.55365158356939
2003M10,87.25508404977174
2003M11,86.72235652939634
2003M12,82.4606580398863
2004M01,80.69833580892133
2004M02,81.04480580587358
2004M03,83.92890575723347
2004M04,85.41829716986958
2004M05,85.20294898366141
2004M06,84.32241530014096
2004M07,83.50819474260882
2004M08,84.46228080191882
2004M09,84.41428075969516
2004M10,82.49301247726926
2004M11,78.91251114753122
2004M12,76.11858076582938
2005M01,78.2997545570224
2005M02,79.43533360642661
2005M03,78.65792779444277
2005M04,80.24019207399678
2005M05,81.37121175660788
2005M06,84.92188340094542
2005M07,85.955690320221
2005M08,84.51337115591373
2005M09,85.645591468213
2005M10,87.12448963988803
2005M11,87.7389621590573
2005M12,86.77811753768798
2006M01,85.94518330076737
2006M02,87.12408257732082
2006M03,85.92830557470172
2006M04,84.45528230993985
2006M05,81.20619130371375
2006M06,82.17819290663293
2006M07,82.39045929846081
2006M08,81.85299901056034
2006M09,81.6292569804324
2006M10,81.89818052953558
2006M11,79.95968921007264
2006M12,77.88936760715657
2007M01,79.63430969635179
2007M02,79.61026036386262
2007M03,78.33968432012627
2007M04,76.54977688264421
2007M05,76.93024074164158
2007M06,77.6526413559972
2007M07,76.17235673173265
2007M08,76.91847153659903
2007M09,75.28213969004918
2007M10,73.27502760254042
2007M11,71.17446656564229
2007M12,71.60028630599925
2008M01,71.32184590502305
2008M02,71.38165079287069
2008M03,67.3961862694497
2008M04,66.6244087540742
2008M05,67.72439592562968
2008M06,68.08364559820254
2008M07,67.89159151370465
2008M08,71.59771490924427
2008M09,74.1026780009755
2008M10,79.32831676220555
2008M11,81.83647333124655
2008M12,77.20418265636862
2009M01,79.1436173415608
2009M02,82.37201202338726
2009M03,80.32108342878583
2009M04,79.40722749139385
2009M05,77.1161746755237
2009M06,75.6729081250942
2009M07,75.5713772717617
2009M08,74.99961263242952
2009M09,73.39801998065441
2009M10,72.16150135988846
2009M11,71.57971050425633
2009M12,72.88329707205652
2010M01,75.22919227520389
2010M02,78.44138820301075
2010M03,78.53067800183922
2010M04,79.2991419631315
2010M05,84.59132386387546
2010M06,86.77803855292814
2010M07,82.86902973810845
2010M08,82.33219512324494
2010M09,81.16380590985354
2010M10,76.04506494257352
