DATE,Spain
1993M01,80.00611554392387
1993M02,82.29918204535778
1993M03,82.43740729159215
1993M04,80.80980306807443
1993M05,84.51929651434052
1993M06,88.52862988132172
1993M07,93.44019246777208
1993M08,96.11410339254876
1993M09,90.19330987885202
1993M10,91.32792858620499
1993M11,94.85292174409787
1993M12,96.38236304487171
1994M01,97.51366918565515
1994M02,96.56741561626795
1994M03,94.99778840951905
1994M04,94.22186355502394
1994M05,93.11947769435754
1994M06,91.7504373025631
1994M07,88.29108052401001
1994M08,88.3513618192832
1994M09,87.53749128993418
1994M10,85.74263205304966
1994M11,87.2222893251481
1994M12,89.406831214548
1995M01,89.05246823221066
1995M02,87.5563937345596
1995M03,86.02593753075926
1995M04,83.06957982211192
1995M05,82.42430969239034
1995M06,81.46387004996379
1995M07,80.17898196588644
1995M08,82.54600418737917
1995M09,83.88038553311571
1995M10,81.99042973553301
1995M11,81.1534155015809
1995M12,81.39071189010768
1996M01,81.81522293797147
1996M02,82.06312805013461
1996M03,82.78754765849776
1996M04,83.50767095909447
1996M05,84.89264079925091
1996M06,85.56945117508664
1996M07,84.42270171596468
1996M08,83.48852970463284
1996M09,84.36742307796922
1996M10,85.63094263952664
1996M11,84.85452187120883
1996M12,86.9312002003299
1997M01,89.63982487788736
1997M02,94.72309812035954
1997M03,96.33834131142345
1997M04,96.7115839429396
1997M05,96.07633481776728
1997M06,97.64474842753617
1997M07,100.93768859640232
1997M08,103.73696048965486
1997M09,100.38878664620282
1997M10,98.92003659430615
1997M11,97.36513125707697
1997M12,99.61185381342685
1998M01,102.00059590132827
1998M02,102.33622491453698
1998M03,103.17129621330021
1998M04,102.57370792876033
1998M05,100.39045068379721
1998M06,101.39530982799218
1998M07,101.47885860172913
1998M08,100.78736479084853
1998M09,96.02615132826404
1998M10,92.71638645145269
1998M11,95.41269192638732
1998M12,94.35401661337104
1999M01,95.08459799336966
1999M02,98.5698534363608
1999M03,101.36486340461423
1999M04,103.42390471198033
1999M05,104.17102459001775
1999M06,106.65811409793633
1999M07,106.80871474736422
1999M08,104.06178924119692
1999M09,105.38093092338573
1999M10,103.57987613353897
1999M11,107.167361943819
1999M12,109.10883122905875
2000M01,108.77851351322975
2000M02,112.61625135032351
2000M03,115.3255648749653
2000M04,117.05944158184285
2000M05,122.27923771001977
2000M06,116.96018133157126
2000M07,117.70656606276216
2000M08,121.82635662179607
2000M09,126.64150870462215
2000M10,129.06168580635094
2000M11,128.59457822719924
2000M12,122.2758774172911
2001M01,117.60113641138302
2001M02,119.80188401619469
2001M03,121.20296155261694
2001M04,123.43244521192149
2001M05,126.02428780710878
2001M06,128.88366950056252
2001M07,127.11367530664963
2001M08,121.20535934688526
2001M09,120.34010928048555
2001M10,120.74428854367895
2001M11,122.98673248254109
2001M12,121.60324004733422
2002M01,123.23947392275451
2002M02,125.47770786210889
2002M03,124.32690737415898
2002M04,121.95422617177323
2002M05,117.39344616665997
2002M06,112.75605156310249
2002M07,109.43639121976503
2002M08,111.09001591569724
2002M09,110.52050186386526
2002M10,109.5784892227169
2002M11,107.1985666991149
2002M12,104.8600989695557
2003M01,101.3800884081293
2003M02,100.49680951776391
2003M03,100.11353342499075
2003M04,98.70713444583654
2003M05,92.39428628292495
2003M06,91.77800705951393
2003M07,94.81995996897051
2003M08,96.75078156491263
2003M09,96.08650199889995
2003M10,91.4561919509153
2003M11,90.8544309871802
2003M12,86.29096725133445
2004M01,85.04840479233239
2004M02,85.2453858992485
2004M03,87.86931155950862
2004M04,88.97170904267799
2004M05,88.80362220935409
2004M06,87.94393567360767
2004M07,87.5950504936542
2004M08,87.89934873385255
2004M09,87.62297873868208
2004M10,85.30399373595483
2004M11,81.84322747738322
2004M12,79.08353475747981
2005M01,81.66828924578653
2005M02,82.60390959074263
2005M03,81.43096514050498
2005M04,82.44693304550853
2005M05,83.79705694485182
2005M06,87.27075837494087
2005M07,89.14461884112221
2005M08,87.36214351796568
2005M09,88.16096742405851
2005M10,89.37585261806699
2005M11,90.24693845555394
2005M12,89.15491316786526
2006M01,88.3615646645137
2006M02,89.71431453711597
2006M03,88.96971875962278
2006M04,86.67384480847494
2006M05,83.3969930184957
2006M06,84.22794786496414
2006M07,84.75351776553046
2006M08,83.89991442291746
2006M09,84.15823590120706
2006M10,84.14997960778597
2006M11,82.06611818329087
2006M12,79.8996869012364
2007M01,82.01774889395399
2007M02,81.92274008001885
2007M03,81.00794745926333
2007M04,78.7921822055297
2007M05,79.08132217361481
2007M06,79.63648743319409
2007M07,78.46433011446275
2007M08,78.74990967813682
2007M09,77.1659583775985
2007M10,74.55548602641264
2007M11,72.15252874249988
2007M12,72.36311718561535
2008M01,72.43907426729427
2008M02,72.39443224308381
2008M03,68.75389346328745
2008M04,67.45325389215392
2008M05,68.4053046776581
2008M06,68.71729206036233
2008M07,68.45564273997853
2008M08,71.98234808335454
2008M09,74.91388262567804
2008M10,79.79888829028327
2008M11,82.14588942600876
2008M12,77.52493101240204
2009M01,79.94662920745995
2009M02,83.15445057999452
2009M03,81.59463515361982
2009M04,80.08571431419941
2009M05,77.64985645802524
2009M06,75.9199862527425
2009M07,76.06444482875325
2009M08,75.00797043361364
2009M09,73.72257104195542
2009M10,72.00760743769195
2009M11,71.20987202568244
2009M12,72.57546141026202
2010M01,75.30609682326407
2010M02,78.69099864215917
2010M03,79.10818685158685
2010M04,79.36202829863315
2010M05,84.58488172016587
2010M06,86.7820085238231
2010M07,83.38783053603181
2010M08,82.47411627748852
2010M09,81.39622515802706
2010M10,75.89447926257115
