DATE,Austria
1993M01,84.2751481068659
1993M02,85.48900264893327
1993M03,85.7463083860971
1993M04,83.31434878258843
1993M05,83.79802039918108
1993M06,86.15673313059843
1993M07,88.40445376161264
1993M08,87.40821590752964
1993M09,84.37577829186935
1993M10,85.46902952753761
1993M11,88.866064979092
1993M12,89.17820006903277
1994M01,90.383697972088
1994M02,89.91123993716603
1994M03,87.64513037435071
1994M04,88.11070057006641
1994M05,85.90463540745984
1994M06,84.5933175966705
1994M07,80.8638114515013
1994M08,80.40798794353915
1994M09,80.59096593751606
1994M10,79.27799389562226
1994M11,80.49193803765304
1994M12,82.12403263380821
1995M01,79.63940324451224
1995M02,78.11151399616718
1995M03,73.09734582203666
1995M04,71.94209931202712
1995M05,73.49468789255681
1995M06,72.99589356597123
1995M07,71.89026398218091
1995M08,74.55479652461297
1995M09,76.36698688833093
1995M10,74.3918846000241
1995M11,74.46061889450593
1995M12,75.74581504749702
1996M01,76.82481367926815
1996M02,76.94864983072665
1996M03,77.57317878699217
1996M04,79.43818886603496
1996M05,81.20819545273751
1996M06,80.52709421364686
1996M07,78.75103521158246
1996M08,77.30099608814645
1996M09,79.4258477612133
1996M10,81.06099047885394
1996M11,80.24161069946054
1996M12,82.35323203365687
1997M01,85.2496669098633
1997M02,88.80406484522113
1997M03,90.13582627688555
1997M04,91.00434611223284
1997M05,90.41918243706597
1997M06,91.89238494015915
1997M07,95.41190106163602
1997M08,98.3192249575644
1997M09,95.67604037722533
1997M10,93.95140060218357
1997M11,92.6028941672683
1997M12,94.57982814383443
1998M01,96.77164666326202
1998M02,96.61353548594414
1998M03,97.39503736542144
1998M04,96.75534994157148
1998M05,94.91248979654132
1998M06,96.04738428336326
1998M07,96.47027819437109
1998M08,96.05401974942322
1998M09,91.58470869567181
1998M10,88.18665188621542
1998M11,90.4605696127139
1998M12,89.64400504558701
1999M01,90.79753097679932
1999M02,94.0011745125318
1999M03,97.09288291295408
1999M04,99.43150325802478
1999M05,99.95545018622171
1999M06,102.55956834055542
1999M07,103.1494451640403
1999M08,100.84205967859913
1999M09,102.31691241591838
1999M10,100.1203945121465
1999M11,103.67004384223792
1999M12,105.30895731317683
2000M01,105.64908528484749
2000M02,108.79498208634713
2000M03,111.52426934148632
2000M04,113.76310831877285
2000M05,118.93774984872127
2000M06,113.22832078986212
2000M07,114.55165528135092
2000M08,119.05837857321136
2000M09,123.72242884768038
2000M10,126.17507261262826
2000M11,125.56641323476697
2000M12,119.58915282245329
2001M01,114.9326998400041
2001M02,117.00634428321528
2001M03,118.64044757783469
2001M04,120.85777408808983
2001M05,123.62103614836442
2001M06,126.60530673896969
2001M07,125.05157714566049
2001M08,119.76009397133393
2001M09,118.54358324024022
2001M10,118.70216317821176
2001M11,120.93358343413762
2001M12,119.77451839128892
2002M01,120.86831371554874
2002M02,123.05195773912976
2002M03,122.69450763994207
2002M04,121.51935185160293
2002M05,117.05825888042193
2002M06,112.3325836247552
2002M07,108.37137077978998
2002M08,110.11376790102003
2002M09,109.95870977870524
2002M10,109.89147400630895
2002M11,107.77429758432723
2002M12,105.47159922098564
2003M01,101.35980861819907
2003M02,100.59428042734893
2003M03,100.6200095609605
2003M04,100.1081775140536
2003M05,93.61879379789794
2003M06,92.88010671232904
2003M07,95.4473905710493
2003M08,97.56032701723541
2003M09,96.99757914253586
2003M10,93.12093385589944
2003M11,92.63457035447743
2003M12,87.96769024674302
2004M01,86.01209137449257
2004M02,85.92808880754541
2004M03,88.85950868314454
2004M04,91.20556893354896
2004M05,91.14621579151225
2004M06,90.07316745762893
2004M07,89.19962531411828
2004M08,89.57350534062829
2004M09,89.45139551639676
2004M10,87.65626978520882
2004M11,84.1553983678976
2004M12,80.86813895532799
2005M01,82.73226438312437
2005M02,83.64355726104591
2005M03,82.6926061137156
2005M04,85.1001021839114
2005M05,86.57242798311472
2005M06,90.10154057753005
2005M07,91.56422833878565
2005M08,90.1268711275963
2005M09,91.32726696264032
2005M10,93.24585565424259
2005M11,94.58011626646142
2005M12,93.26376326033666
2006M01,92.14970718503763
2006M02,93.32671930053179
2006M03,92.93049855304038
2006M04,91.35720159861415
2006M05,88.13327291886458
2006M06,89.05857326378855
2006M07,89.16914756811207
2006M08,88.19072676767344
2006M09,88.4904436805725
2006M10,88.93208285210495
2006M11,86.85924133807431
2006M12,84.54819402732164
2007M01,86.20603569944235
2007M02,85.91284868614586
2007M03,85.18101066525192
2007M04,83.58891329033789
2007M05,83.88310630342399
2007M06,84.5456619074118
2007M07,82.69444177493499
2007M08,83.18977998307005
2007M09,81.62688104244154
2007M10,79.42834872163719
2007M11,77.05016101258231
2007M12,77.01150465313384
2008M01,76.90637945415925
2008M02,76.75971297789003
2008M03,72.99393209528212
2008M04,72.18039492374797
2008M05,73.21324391234076
2008M06,73.76438306454095
2008M07,73.19834056389708
2008M08,76.94758012535382
2008M09,79.84198160695047
2008M10,85.41974013163693
2008M11,87.80348863729976
2008M12,82.59277252041745
2009M01,84.51812191784934
2009M02,87.59032014402953
2009M03,85.92758831428003
2009M04,85.00363125558025
2009M05,82.16019425197942
2009M06,80.75826442818928
2009M07,80.44562815313228
2009M08,79.30994816417483
2009M09,77.6940129354003
2009M10,76.42811680902203
2009M11,75.85000280606623
2009M12,77.1418567202301
2010M01,79.4621002042754
2010M02,82.72953126473375
2010M03,82.86488947036372
2010M04,83.78634698040989
2010M05,89.41748768168827
2010M06,91.90386192995781
2010M07,88.23497974446924
2010M08,87.32866112342239
2010M09,86.01120655742046
2010M10,80.71014058941608
