DATE,Switzerland
1993M01,96.31779782067517
1993M02,98.63468075788094
1993M03,98.45501947897655
1993M04,94.54476417455382
1993M05,93.97248106308872
1993M06,95.42519719604623
1993M07,98.08254263953945
1993M08,97.22355592919102
1993M09,92.2856849905861
1993M10,93.90245283541914
1993M11,98.01420947017697
1993M12,95.28144877414196
1994M01,96.08482621235642
1994M02,95.37044794463411
1994M03,93.72757810783803
1994M04,94.46199728815147
1994M05,93.13487200408831
1994M06,91.31850162340953
1994M07,88.2630301499155
1994M08,87.60962013389978
1994M09,85.81358850485111
1994M10,83.94311814379846
1994M11,86.72997467577308
1994M12,88.74637641584208
1995M01,85.8131252339785
1995M02,84.07037712275432
1995M03,77.65967404395849
1995M04,75.8544773561476
1995M05,78.15157090097664
1995M06,77.48261489768674
1995M07,77.53487162511756
1995M08,80.1649121968131
1995M09,79.58472036720275
1995M10,77.24443188115568
1995M11,76.57998092237973
1995M12,77.85106430871404
1996M01,79.43086307446842
1996M02,80.90912239965252
1996M03,81.18370697266316
1996M04,82.77457726745406
1996M05,85.28429592787644
1996M06,85.85397667015361
1996M07,84.08778554357217
1996M08,81.98163198567595
1996M09,84.24925325017666
1996M10,86.43980412731692
1996M11,87.45177637659579
1996M12,91.51091265434015
1997M01,95.62136396821724
1997M02,99.88726444647655
1997M03,100.97342503709883
1997M04,101.0024463786748
1997M05,99.1738753096055
1997M06,99.89178914235916
1997M07,102.90658110237452
1997M08,104.95757507637033
1997M09,102.43330989026957
1997M10,101.28288042167819
1997M11,98.45696875289563
1997M12,100.37841814216594
1998M01,103.39650944972598
1998M02,102.06337982913422
1998M03,104.43068899312966
1998M04,105.98505206003394
1998M05,104.28659067059682
1998M06,104.99523408573516
1998M07,106.67856286137147
1998M08,105.80055585322431
1998M09,98.94700445332734
1998M10,94.95688043018144
1998M11,97.950337946427
1998M12,96.4925215151578
1999M01,97.94962285738457
1999M02,101.27982919724076
1999M03,104.3202417050959
1999M04,107.04484361410319
1999M05,108.00081087021239
1999M06,110.01738961448488
1999M07,111.03678960109583
1999M08,107.89700450514167
1999M09,109.64228499869112
1999M10,106.96775449493404
1999M11,111.44759550769311
1999M12,113.22237805474214
2000M01,114.13648267016688
2000M02,117.26034163535878
2000M03,120.44423575481078
2000M04,120.40946138831214
2000M05,124.96871133221136
2000M06,119.33728712473723
2000M07,120.2544308459498
2000M08,125.68133278933863
2000M09,128.62919037346984
2000M10,129.72242770205057
2000M11,129.91113717120905
2000M12,123.36422107122904
2001M01,119.82258521732281
2001M02,123.42081697111546
2001M03,124.98262770814767
2001M04,126.61400426925084
2001M05,129.45906686626205
2001M06,131.6512574909498
2001M07,130.00309173414666
2001M08,124.78607073901411
2001M09,122.20829034076722
2001M10,121.23813358708502
2001M11,122.35472689942684
2001M12,121.91684949765072
2002M01,123.52111636318817
2002M02,126.2410382664312
2002M03,125.43732681012165
2002M04,122.82653842514028
2002M05,118.24656698874317
2002M06,114.74241858431388
2002M07,110.2295793568416
2002M08,112.89129103690689
2002M09,112.154748323612
2002M10,111.6885109245436
2002M11,111.1436455432016
2002M12,107.96740086784847
2003M01,103.84330410681304
2003M02,103.02541124953736
2003M03,103.22895917855264
2003M04,104.31226586189474
2003M05,99.01809201818021
2003M06,99.88062850498699
2003M07,103.85189670506959
2003M08,106.29932685750889
2003M09,105.72449898497393
2003M10,100.50874086966644
2003M11,101.12361249019358
2003M12,96.43825470838564
2004M01,94.94214949496431
2004M02,95.43879775468403
2004M03,98.94051735144579
2004M04,99.96489695025869
2004M05,98.77466063065422
2004M06,96.59900426464141
2004M07,97.46628478086244
2004M08,97.9349894834011
2004M09,98.13603563841184
2004M10,96.18509463491111
2004M11,90.71584944505273
2004M12,88.9839214891817
2005M01,91.14474404948463
2005M02,93.03306629986523
2005M03,91.95978873103371
2005M04,94.1811759239161
2005M05,95.74746870240621
2005M06,99.1605058935643
2005M07,102.55219762019367
2005M08,100.53505868880868
2005M09,102.12445366146814
2005M10,103.04041052299239
2005M11,104.09000620599576
2005M12,103.78209665101069
2006M01,102.36646658441036
2006M02,104.6509082363411
2006M03,105.34203402372376
2006M04,102.93173416039407
2006M05,98.39689103894756
2006M06,99.42690592835407
2006M07,101.22155102694609
2006M08,100.43073718480518
2006M09,100.96686641701467
2006M10,101.69464250302772
2006M11,99.97506151031858
2006M12,97.68856122897351
2007M01,101.12255468192659
2007M02,101.46295251391378
2007M03,100.6570596561812
2007M04,99.35586961866947
2007M05,100.55392922424143
2007M06,101.45844877673906
2007M07,100.37891606457629
2007M08,99.47802434613891
2007M09,97.99635747711834
2007M10,96.54931159691415
2007M11,92.55024394693449
2007M12,93.91144749141587
2008M01,91.32923693446385
2008M02,90.63725836363125
2008M03,84.42743107337571
2008M04,84.27361562059299
2008M05,86.81820593065075
2008M06,87.54498772084526
2008M07,87.53997066009843
2008M08,92.51050243679326
2008M09,93.98293482577412
2008M10,95.04297456673858
2008M11,97.96380839291449
2008M12,94.16175204577527
2009M01,93.71769374743755
2009M02,97.28824797005811
2009M03,97.84193062519968
2009M04,95.56698569451491
2009M05,92.36208015795829
2009M06,90.47541647341596
2009M07,90.93546560298788
2009M08,90.19571100139919
2009M09,87.73282491744585
2009M10,85.59653930298397
2009M11,84.65397627064328
2009M12,86.38703866065143
2010M01,86.77868672597873
2010M02,90.04018214607368
2010M03,90.28614473357453
2010M04,89.67651860322486
2010M05,94.87653382035475
2010M06,95.19826048950377
2010M07,89.1285191917423
2010M08,88.41387151595606
2010M09,85.08248534277665
2010M10,82.19537114583349
