DATE,Luxembourg
1993M01,84.22069954854351
1993M02,85.7374935825627
1993M03,86.02134908400387
1993M04,83.33237616088878
1993M05,83.75501513344483
1993M06,86.07555872543129
1993M07,89.58828991524712
1993M08,92.09578896769142
1993M09,88.10561768512319
1993M10,90.28376940732143
1993M11,91.47732064188436
1993M12,90.1508023087294
1994M01,91.66379632733222
1994M02,90.65038501760002
1994M03,88.60337410410284
1994M04,88.87329240646307
1994M05,86.6518856561119
1994M06,85.44785539956699
1994M07,82.32150089125433
1994M08,82.23493315919356
1994M09,81.4798084495704
1994M10,79.66637384906458
1994M11,80.61618083307891
1994M12,82.08034516905862
1995M01,80.16423664945519
1995M02,78.78253578883191
1995M03,74.11433717199104
1995M04,72.66000701458064
1995M05,74.31583193813346
1995M06,73.89603345525379
1995M07,73.3271427307262
1995M08,76.42478900924
1995M09,77.41378339131815
1995M10,75.06249694410899
1995M11,74.99264110904356
1995M12,76.14803789277703
1996M01,77.62082401772807
1996M02,78.07094721343475
1996M03,78.96741300701518
1996M04,80.55551395614903
1996M05,82.14954479821499
1996M06,81.93293209853326
1996M07,80.95345481233947
1996M08,79.80661635705073
1996M09,81.26844301135537
1996M10,82.63148606693767
1996M11,81.64976576655629
1996M12,83.886816518823
1997M01,86.88001497931917
1997M02,90.73054948471794
1997M03,92.39609537706927
1997M04,93.23297994191059
1997M05,92.64214084724986
1997M06,94.02998773303264
1997M07,97.42930122647577
1997M08,100.26826657492589
1997M09,97.3233190732266
1997M10,95.49846390918914
1997M11,94.0308135033917
1997M12,96.37836287383162
1998M01,98.56055999273185
1998M02,98.70309996257876
1998M03,99.47135256326268
1998M04,99.26058500097507
1998M05,96.94257528170672
1998M06,98.01074566318873
1998M07,98.24782525634042
1998M08,97.70829673581201
1998M09,93.34488990064159
1998M10,89.90803200927068
1998M11,92.27534305462866
1998M12,91.58186977032736
1999M01,94.22154739057231
1999M02,95.96202566178376
1999M03,99.00248906457868
1999M04,100.90599255614077
1999M05,101.34707457558694
1999M06,103.83909330759371
1999M07,105.75444669842045
1999M08,101.8100492535793
1999M09,103.04115278397856
1999M10,100.95116663597013
1999M11,104.52545830150231
1999M12,106.49151188019333
2000M01,107.43988666251752
2000M02,109.95027962830758
2000M03,112.75296601867187
2000M04,114.49056104877752
2000M05,119.64794935877262
2000M06,114.04871670673822
2000M07,116.72967673214664
2000M08,119.72545611892515
2000M09,124.13052631195077
2000M10,126.42694228189782
2000M11,125.92162075572644
2000M12,119.90519661055703
2001M01,116.9997506568371
2001M02,118.08041701096839
2001M03,119.63366837091742
2001M04,122.08514011341059
2001M05,124.42412088055887
2001M06,127.2928759767119
2001M07,127.10090431720513
2001M08,120.0969344771348
2001M09,119.0833818336401
2001M10,119.15312240777804
2001M11,121.10000483379567
2001M12,120.40053092440318
2002M01,122.86528785175591
2002M02,123.69247947261945
2002M03,123.47080482253561
2002M04,122.28509769760171
2002M05,117.78576261463849
2002M06,112.96689927190643
2002M07,109.65343250038698
2002M08,110.5350675284166
2002M09,110.05570972095926
2002M10,109.79827920135973
2002M11,107.48516930102176
2002M12,105.61093942656677
2003M01,102.4579860753633
2003M02,100.40970622103328
2003M03,100.43803292569255
2003M04,99.89406715935965
2003M05,93.38574697116766
2003M06,92.8242109950324
2003M07,96.12708492599634
2003M08,97.24172869533142
2003M09,96.4331520367028
2003M10,92.46120659230908
2003M11,91.92754134887987
2003M12,87.36944960284298
2004M01,86.12014887301552
2004M02,85.25611349144728
2004M03,88.45602744122559
2004M04,90.54156070523385
2004M05,90.70884691015772
2004M06,89.74220958774762
2004M07,89.61293000881983
2004M08,89.27164076387133
2004M09,88.99781285125708
2004M10,87.19108111339148
2004M11,83.67052606473203
2004M12,80.91475238470258
2005M01,83.60115968053051
2005M02,83.46632711197972
2005M03,82.77962326524535
2005M04,84.71823536580597
2005M05,86.1545934448853
2005M06,89.89209027570061
2005M07,91.84227035180456
2005M08,89.20790209953273
2005M09,90.28162725771755
2005M10,91.76092869688355
2005M11,93.09740386007212
2005M12,92.33523851144669
2006M01,91.60542791409823
2006M02,91.53288907560099
2006M03,91.24177992687484
2006M04,89.86310733087139
2006M05,86.4798155494997
2006M06,87.4117636955263
2006M07,88.19480204328356
2006M08,86.43407411794065
2006M09,86.64941892459655
2006M10,87.2120913757292
2006M11,85.17260735229308
2006M12,83.02360759856788
2007M01,85.13310289255358
2007M02,83.91955263022724
2007M03,83.33862400931055
2007M04,81.9686559855245
2007M05,82.35248924923232
2007M06,82.92917593420506
2007M07,81.95788344946017
2007M08,81.36978234286445
2007M09,79.91208909394703
2007M10,77.76929026007065
2007M11,75.51601414906679
2007M12,75.81962878878348
2008M01,75.87075128657148
2008M02,75.09781598607846
2008M03,71.42002503809454
2008M04,70.64820248697404
2008M05,71.66254846436982
2008M06,72.05003292262101
2008M07,71.7813805862487
2008M08,75.02485463338984
2008M09,77.97772590601913
2008M10,83.47750802099692
2008M11,86.29695617080394
2008M12,81.49950429482162
2009M01,83.95685941466483
2009M02,85.80826350116978
2009M03,84.48820844873829
2009M04,83.51999396677682
2009M05,80.87921867546656
2009M06,79.02745412444497
2009M07,79.20743717402652
2009M08,77.36364934660513
2009M09,75.94193167511474
2009M10,74.77097434013085
2009M11,74.04695028419799
2009M12,75.5478578392316
2010M01,78.24589331035703
2010M02,80.65032820964268
2010M03,81.22178082697248
2010M04,82.10702854601112
2010M05,87.5423739014712
2010M06,89.98644427695889
2010M07,86.36215264663996
2010M08,84.72139101544691
2010M09,83.64466210113132
2010M10,78.61867518463245
