DATE,Mexico
1969M01,64.83385508622929
1969M02,64.96489693207306
1969M03,65.44473071575135
1969M04,65.62942665740299
1969M05,65.81022395907593
1969M06,65.9368522555797
1969M07,66.04646974189363
1969M08,66.33257717601624
1969M09,65.89361954602401
1969M10,65.56032013805934
1969M11,65.90395069273957
1969M12,65.76061991995415
1970M01,65.43854952691933
1970M02,65.79249849881047
1970M03,65.94477157464877
1970M04,66.37697838611972
1970M05,66.40933274126013
1970M06,66.34998208871704
1970M07,66.36800761183191
1970M08,66.0624142624935
1970M09,66.24103969451551
1970M10,66.55604855541098
1970M11,66.53488691022739
1970M12,66.310537876169
1971M01,65.66364674132535
1971M02,65.55665099518798
1971M03,65.47240192255
1971M04,65.30190093950132
1971M05,65.48981722402523
1971M06,65.679923191591
1971M07,65.89242954225956
1971M08,65.45651887825927
1971M09,65.2431239775194
1971M10,65.33910523883625
1971M11,65.23285163707062
1971M12,65.24065408223368
1972M01,64.95335507229855
1972M02,65.06675280937235
1972M03,64.87001867753028
1972M04,64.62070737186609
1972M05,64.64642195030027
1972M06,64.32625033106311
1972M07,64.39171482066969
1972M08,64.12342528833238
1972M09,63.984003327817646
1972M10,64.24149729631829
1972M11,63.97736063954855
1972M12,63.91191452460614
1973M01,63.145855541697195
1973M02,63.06949684724137
1973M03,63.10272410924402
1973M04,62.54865936549263
1973M05,62.316720926978725
1973M06,62.23223143682866
1973M07,60.813407628105445
1973M08,60.9337727481124
1973M09,59.65021163883766
1973M10,59.41600839892479
1973M11,59.079657551227136
1973M12,57.24240747387742
1974M01,55.74300795027147
1974M02,55.21283129267475
1974M03,55.48675962763215
1974M04,54.97294217077289
1974M05,55.22591156666167
1974M06,55.13540409599484
1974M07,54.793504503676076
1974M08,54.87982222363982
1974M09,54.91568177586709
1974M10,54.37933553590404
1974M11,53.32399754945848
1974M12,53.32163541416346
1975M01,52.85174697417842
1975M02,52.965388057479316
1975M03,52.833861862246174
1975M04,52.59003440783884
1975M05,52.1900488340265
1975M06,51.703384268395936
1975M07,51.86730209043987
1975M08,51.51735046978262
1975M09,51.427238859058846
1975M10,51.4463439742915
1975M11,51.4606515227941
1975M12,51.228793268203304
1976M01,50.34823734786577
1976M02,49.601317555924965
1976M03,49.20858686466521
1976M04,49.041343478043714
1976M05,49.04715418708004
1976M06,49.1105531168342
1976M07,48.955663371316255
1976M08,48.74701998244932
1976M09,94.60648293822827
1976M10,90.02893863108193
1976M11,86.28616706988905
1976M12,84.46566025002699
1977M01,82.27958958771293
1977M02,81.32759014832075
1977M03,80.47432954966152
1977M04,79.94175267868913
1977M05,79.64188787687914
1977M06,79.19975847165914
1977M07,78.70131777447497
1977M08,77.37176775371327
1977M09,76.27129044948317
1977M10,75.9394975932641
1977M11,75.48397971735635
1977M12,74.69402316193747
1978M01,73.53992014148164
1978M02,72.96320218614217
1978M03,72.78572487359142
1978M04,72.55302806822431
1978M05,72.5235216485324
1978M06,72.31583653747226
1978M07,71.65504784318918
1978M08,71.27165213788653
1978M09,71.00126585251789
1978M10,70.78407853644707
1978M11,70.3764886003219
1978M12,70.09528520990698
1979M01,68.29201469867986
1979M02,68.11293149514457
1979M03,67.88201080479901
1979M04,68.05053774784221
1979M05,68.02673581127601
1979M06,68.0333859423356
1979M07,67.9625126918779
1979M08,67.59041997134452
1979M09,67.49542058978106
1979M10,66.8704571218697
1979M11,66.63511108804204
1979M12,66.16683912858161
1980M01,63.99581250820769
1980M02,63.434202117275795
1980M03,63.1007980284922
1980M04,62.71348160633223
1980M05,62.316313567151724
1980M06,61.77686746824126
1980M07,60.09868812729634
1980M08,59.305924028197104
1980M09,59.14743795620178
1980M10,58.81982508186499
1980M11,58.29403657660664
1980M12,57.335675331710576
1981M01,55.99664342554499
1981M02,55.21954778699283
1981M03,54.432122864416634
1981M04,53.59250493618102
1981M05,53.208724783562005
1981M06,52.942908083084134
1981M07,52.60075001728056
1981M08,51.93252696875593
1981M09,77.2217208663602
1981M10,75.70765733520699
1981M11,74.5167378779563
1981M12,72.795841815557
1982M01,69.57139322794228
1982M02,67.15387719734464
1982M03,107.86526580561548
1982M04,102.75301707309268
1982M05,98.20744512092979
1982M06,94.86761855397225
1982M07,90.68376811927189
1982M08,130.722238673423
1982M09,139.89586012052578
1982M10,103.76219617906018
1982M11,98.56746822142703
1982M12,101.36435393197758
1983M01,114.50568132583113
1983M02,108.78474299136754
1983M03,114.13869174923553
1983M04,108.11006910933362
1983M05,104.24664305605529
1983M06,109.90568006964091
1983M07,105.14874217292041
1983M08,109.9842033340982
1983M09,107.23278271188582
1983M10,104.09814295027492
1983M11,106.09671114527738
1983M12,101.84430419286498
1984M01,103.20855564622113
1984M02,98.51568644189213
1984M03,94.66206731764092
1984M04,97.25761854930255
1984M05,94.41004366533822
1984M06,97.08802616267796
1984M07,94.36894046519778
1984M08,92.11322899250506
1984M09,95.16347285910463
1984M10,92.21339958520072
1984M11,94.106697353417
1984M12,90.27274000931435
1985M01,88.6298966924022
1985M02,85.49800536899778
1985M03,86.75012912842588
1985M04,84.55594912349008
1985M05,86.8562592804204
1985M06,84.97099908930869
1985M07,89.74257046039497
1985M08,104.08950423013302
1985M09,103.83114323232866
1985M10,103.74742106788193
1985M11,105.86151534340166
1985M12,108.42207619124214
1986M01,108.21255649348944
1986M02,111.27072187685108
1986M03,115.92236777035447
1986M04,117.13987992315924
1986M05,118.09262471784383
1986M06,120.16402620847916
1986M07,122.62853001351274
1986M08,127.0555221537114
1986M09,131.1941128010249
1986M10,132.72083702675982
1986M11,132.41073634632494
