DATE,United Kingdom
1993M01,80.23782034813875
1993M02,86.2980461460383
1993M03,83.72470640218665
1993M04,79.74756311562255
1993M05,79.60719680576415
1993M06,80.9440337622813
1993M07,82.42967131914567
1993M08,82.26872417851789
1993M09,80.82806910165604
1993M10,82.39203139042111
1993M11,83.94147341258193
1993M12,82.4485804801063
1994M01,82.67477686350873
1994M02,83.93340242917823
1994M03,82.72324751272937
1994M04,82.19746416161249
1994M05,82.00053097723004
1994M06,81.05046158036743
1994M07,80.53298689747194
1994M08,80.36176498481836
1994M09,79.21616358924275
1994M10,76.90998447374702
1994M11,78.13499418455494
1994M12,79.01168150570963
1995M01,79.32836159677137
1995M02,79.40259101673107
1995M03,76.825334382659
1995M04,76.61471917760511
1995M05,77.65335035086349
1995M06,77.68993547714805
1995M07,77.92323858668904
1995M08,79.01183929637084
1995M09,78.81344228471075
1995M10,77.95118593888418
1995M11,79.13698488090799
1995M12,79.84519643957515
1996M01,80.43250343703819
1996M02,80.3353954428055
1996M03,80.51244677179557
1996M04,81.585511363167
1996M05,81.3846326786585
1996M06,80.08597111278077
1996M07,79.46753699921666
1996M08,80.39261810325004
1996M09,79.06216673911919
1996M10,77.9604338038947
1996M11,74.28124411395564
1996M12,74.06717712803646
1997M01,74.51542205732903
1997M02,77.12979410457686
1997M03,77.21168527837172
1997M04,75.73391340753525
1997M05,75.3622675001531
1997M06,75.34877039540946
1997M07,74.31202178511269
1997M08,76.60431598183786
1997M09,77.81212933994199
1997M10,75.4218742455964
1997M11,72.90388418994851
1997M12,73.94299444715091
1998M01,75.6361409337941
1998M02,75.56189009831563
1998M03,74.25054960907978
1998M04,73.96997163469617
1998M05,75.0255216680492
1998M06,75.22289746460788
1998M07,75.52675503764729
1998M08,75.40749353484556
1998M09,73.9513700266885
1998M10,72.89664387834642
1998M11,74.02893205340786
1998M12,73.77828193029285
1999M01,75.4004233525405
1999M02,75.3872110767718
1999M03,76.43075796894091
1999M04,76.66849150455168
1999M05,76.45786378063809
1999M06,77.79792040722333
1999M07,79.59904141675906
1999M08,77.08366384256254
1999M09,77.23992375609842
1999M10,74.88187194936211
1999M11,77.31773219541928
1999M12,77.1061925724496
2000M01,76.61194473300381
2000M02,78.11399078926549
2000M03,79.80907545208639
2000M04,79.52886196890373
2000M05,83.18625077080382
2000M06,83.50917876432457
2000M07,84.04551236872466
2000M08,85.31892922279626
2000M09,88.99637692821317
2000M10,87.87651133822733
2000M11,88.96023500542269
2000M12,86.36887671362318
2001M01,87.50614459049083
2001M02,88.90604759908439
2001M03,88.86717744200995
2001M04,89.90498387696623
2001M05,89.70868285474062
2001M06,91.0223235714333
2001M07,91.37581497760411
2001M08,89.7275128244719
2001M09,87.3232362613101
2001M10,88.42713024253004
2001M11,89.55723319636806
2001M12,87.81227058264254
2002M01,89.52530998657569
2002M02,89.63948719342818
2002M03,89.90390254561797
2002M04,88.6436872319377
2002M05,88.40979887512519
2002M06,85.89494195283423
2002M07,82.35741779096533
2002M08,83.70147931717918
2002M09,82.33335003701364
2002M10,82.36144383931972
2002M11,82.36144383931972
2002M12,80.68362616078383
2003M01,80.17439123074661
2003M02,80.57980408700429
2003M03,82.04793343552127
2003M04,82.73610872257477
2003M05,80.01978278506311
2003M06,77.62397398781044
2003M07,80.40359719967296
2003M08,81.79784388363358
2003M09,80.55134136151477
2003M10,77.76773153050819
2003M11,76.2649226657855
2003M12,73.40937509212782
2004M01,71.4568350787631
2004M02,70.35370384172386
2004M03,72.0250572623044
2004M04,71.97632154400013
2004M05,73.42989856276954
2004M06,72.34747740159769
2004M07,71.10228303924622
2004M08,72.27120172578135
2004M09,73.74054858791249
2004M10,72.61869065061707
2004M11,71.15348811363417
2004M12,68.00649871558997
2005M01,69.72614114184518
2005M02,69.94966610660684
2005M03,68.90326638072776
2005M04,70.43249159981761
2005M05,71.41679365136565
2005M06,72.77674421283862
2005M07,75.67686218752999
2005M08,74.54216790864565
2005M09,73.920197803765
2005M10,76.666393323714
2005M11,77.3848200338503
2005M12,75.45972785267519
2006M01,76.3200090154163
2006M02,76.28324947505925
2006M03,76.51474247792791
2006M04,76.68884812388278
2006M05,71.30848040579468
2006M06,72.6187933392957
2006M07,72.83353594692188
2006M08,71.36259297163296
2006M09,70.9258983016976
2006M10,70.45535527983994
2006M11,68.85530505134037
2006M12,67.30419292345255
2007M01,67.92078356636188
2007M02,68.03557724968131
2007M03,68.32342143177681
2007M04,67.17549434658005
2007M05,67.42371361597209
2007M06,67.39257220766903
2007M07,66.34574441629101
2007M08,67.33250685432147
2007M09,67.43720904780608
2007M10,65.99274106654026
2007M11,64.79794911429627
2007M12,65.79061407459591
2008M01,69.143617246199
2008M02,68.93458108082316
2008M03,67.92786683391651
2008M04,67.78098050652083
2008M05,69.31392051796608
2008M06,69.60816804752427
2008M07,68.60164836573725
2008M08,69.29429448508917
2008M09,75.63527276559842
2008M10,79.06293103418733
2008M11,85.43495006743645
2008M12,87.35304259200691
2009M01,90.87380580091676
2009M02,90.69732719882474
2009M03,93.4460183036796
2009M04,89.51593734369492
2009M05,85.42337993878336
2009M06,80.67162545178172
2009M07,80.63524052822233
2009M08,79.22116713124286
2009M09,80.59189707940531
2009M10,81.89921520786423
2009M11,79.1343626505591
2009M12,81.35269713398897
2010M01,81.72264430531848
2010M02,84.1902637789567
2010M03,86.78766510332441
2010M04,85.14495451556849
2010M05,88.94589476846667
2010M06,88.76054640778895
2010M07,85.05112925873908
2010M08,82.18272877744576
2010M09,83.53578411362675
2010M10,82.1511803915815
