DATE,Norway
1993M01,75.6802962247003
1993M02,76.80948652316134
1993M03,76.58298809969985
1993M04,74.1585615972548
1993M05,74.48094381312703
1993M06,76.55333102834147
1993M07,80.29614712102031
1993M08,81.19442373617161
1993M09,77.90664731428146
1993M10,79.11273869490122
1993M11,81.71011228226698
1993M12,82.16803592599312
1994M01,83.18769812874659
1994M02,83.32700578364569
1994M03,81.67182011102823
1994M04,81.88012648609043
1994M05,79.8233588095126
1994M06,78.73801048395826
1994M07,76.49262728614403
1994M08,76.69010351965538
1994M09,75.76285888561392
1994M10,73.80674049708992
1994M11,75.13351526667681
1994M12,76.58483131194693
1995M01,74.64734877425457
1995M02,73.4941929777241
1995M03,69.73952361441918
1995M04,69.07708196317321
1995M05,70.22715374985117
1995M06,69.59939973561883
1995M07,68.92074204160923
1995M08,71.11095523720637
1995M09,71.49981269295527
1995M10,69.93983799223433
1995M11,70.1099037038279
1995M12,71.1852873772679
1996M01,72.71467934603606
1996M02,72.72845875794907
1996M03,73.007209713605
1996M04,73.86817915970495
1996M05,74.81067480064931
1996M06,74.18052443164771
1996M07,72.40264981288135
1996M08,72.88210070781108
1996M09,73.3618432535674
1996M10,73.50070966720935
1996M11,72.26754532669406
1996M12,73.6332312226316
1997M01,73.10574262652442
1997M02,74.94393120013656
1997M03,77.29055265944673
1997M04,79.0892296168269
1997M05,79.94576154494034
1997M06,81.39970149959096
1997M07,84.2250947517454
1997M08,86.77807126780314
1997M09,82.98389968065423
1997M10,80.34782455686482
1997M11,79.84428166500722
1997M12,82.00768424067527
1998M01,84.51982590747788
1998M02,84.99439465814099
1998M03,85.01130386539512
1998M04,84.60674034162359
1998M05,83.86729575856094
1998M06,85.19856413414432
1998M07,85.86653093191015
1998M08,87.2311773010882
1998M09,85.14878358091826
1998M10,83.66784918417403
1998M11,83.77654732082539
1998M12,85.18052220958229
1999M01,83.46609657392116
1999M02,86.47688343595551
1999M03,87.26149930719676
1999M04,87.09551483657026
1999M05,86.99016978696046
1999M06,88.21643523343734
1999M07,89.06245545845475
1999M08,88.39634947393917
1999M09,88.53714886021821
1999M10,87.20759260505561
1999M11,88.92674812856454
1999M12,89.8159065106622
2000M01,89.59907355325163
2000M02,92.34600949481263
2000M03,94.90143335931536
2000M04,96.9561609424177
2000M05,101.89425457613031
2000M06,97.72147750417086
2000M07,98.56502764229562
2000M08,101.51064915804241
2000M09,103.92037131962961
2000M10,105.79529118113582
2000M11,105.07686869607625
2000M12,102.11436261073102
2001M01,98.698182579001
2001M02,99.89341401834005
2001M03,100.42276197789458
2001M04,101.77753937551103
2001M05,102.2756843949359
2001M06,104.24175672995301
2001M07,104.83908378008796
2001M08,101.46043787071258
2001M09,99.46714985388107
2001M10,99.69696693990952
2001M11,100.5431030240028
2001M12,100.33719018336309
2002M01,100.5474903292476
2002M02,100.5908763117409
2002M03,99.19326686084037
2002M04,97.35942842478977
2002M05,92.37483810781725
2002M06,87.46070363745602
2002M07,84.50192491909367
2002M08,86.5894171373085
2002M09,85.16225015858701
2002M10,84.64040874147038
2002M11,82.40423123779573
2002M12,79.93121888816013
2003M01,75.68397026132702
2003M02,77.16624463914721
2003M03,81.10668946667917
2003M04,81.08232200609989
2003M05,76.71570306350819
2003M06,79.25551890130866
2003M07,82.93945928582951
2003M08,84.41405270469657
2003M09,83.12987817933656
2003M10,79.97296030687893
2003M11,79.31828978258356
2003M12,75.84148159452593
2004M01,77.44384000017537
2004M02,79.24978637988016
2004M03,79.70924151106213
2004M04,79.29280079651814
2004M05,78.62238461013496
2004M06,78.87184749481119
2004M07,79.76784083556983
2004M08,79.19701057983839
2004M09,78.87608645886367
2004M10,76.32153363907611
2004M11,72.5434378110594
2004M12,70.75052899565503
2005M01,72.58114757306377
2005M02,74.42412697537836
2005M03,72.41963314289956
2005M04,73.95568953104514
2005M05,74.19306535391425
2005M06,75.62962103502694
2005M07,77.22065284252442
2005M08,75.87214269903433
2005M09,75.41471868182154
2005M10,77.2527006937024
2005M11,78.04260560769875
2005M12,78.87519777983417
2006M01,78.60318020817407
2006M02,79.39450087905183
2006M03,78.34515052464548
2006M04,75.28751940076
2006M05,72.45919363674365
2006M06,73.9971807611354
2006M07,74.96035237659586
2006M08,74.8677339092286
2006M09,76.3927276863016
2006M10,77.87725403266694
2006M11,74.81355599920809
2006M12,72.57344666196627
2007M01,76.05252652768961
2007M02,74.03353312984284
2007M03,73.66571910287274
2007M04,72.45367778629866
2007M05,73.0529566911152
2007M06,73.15942277113162
2007M07,70.630618222227
2007M08,71.31626798409289
2007M09,68.45785931432312
2007M10,65.65177144800214
2007M11,65.09169283266327
2007M12,65.4776534195028
2008M01,65.02495893923968
2008M02,64.6001626248336
2008M03,62.01697030367107
2008M04,61.541721791165465
2008M05,61.9373094809146
2008M06,63.5306955014241
2008M07,63.00684643090831
2008M08,65.51096496611622
2008M09,68.70135198225772
2008M10,77.0874454894826
2008M11,81.44958030712596
2008M12,81.7472973803716
2009M01,81.79318902322241
2009M02,80.50170981883878
2009M03,79.64029764060099
2009M04,78.28109612694224
2009M05,75.63145380283744
2009M06,75.2702419611877
2009M07,75.09581930173891
2009M08,72.10592309172033
2009M09,69.58727530939917
2009M10,66.73242169778283
2009M11,66.55828278729007
2009M12,67.51309642686545
2010M01,67.43392352926725
2010M02,68.85409678253154
2010M03,68.76311862519455
2010M04,68.73393832582721
2010M05,73.36594445821476
2010M06,75.71064934136001
2010M07,73.78998304457642
2010M08,72.5205955354587
2010M09,71.03457888985551
2010M10,68.46658657720414
2010M11,69.86838999442969
