DATE,Czech Republic
1993M01,181.0160512611379
1993M02,179.60411590318108
1993M03,179.28201274624706
1993M04,175.45378742554593
1993M05,175.78703112241666
1993M06,177.0882235084022
1993M07,181.31861472976948
1993M08,180.4490671171238
1993M09,174.0469469962197
1993M10,173.68220868255924
1993M11,176.85740397427713
1993M12,175.69631540781114
1994M01,174.07721680059487
1994M02,173.66569630612466
1994M03,171.12423938388227
1994M04,170.88729828569484
1994M05,167.8358235078092
1994M06,164.60748452065417
1994M07,160.45509700207705
1994M08,159.69778566384198
1994M09,157.29462099800276
1994M10,153.97472221559778
1994M11,153.76504813016152
1994M12,155.15215593139942
1995M01,151.34842140579772
1995M02,148.51450512665994
1995M03,142.58952830579804
1995M04,139.78303666346213
1995M05,141.51376753719572
1995M06,139.6349423075081
1995M07,138.9405068637447
1995M08,142.67910910647157
1995M09,143.42047817970538
1995M10,139.5189031287858
1995M11,138.44022005324155
1995M12,139.61633044081438
1996M01,138.71601805544506
1996M02,138.92483151741143
1996M03,139.8650609380725
1996M04,140.88138574272358
1996M05,141.72352245788483
1996M06,141.0199977693472
1996M07,136.29009406491417
1996M08,133.39523607512405
1996M09,133.68726629520958
1996M10,136.2298684675511
1996M11,134.480567166834
1996M12,136.04913882738236
1997M01,135.75219873486782
1997M02,138.92591282248011
1997M03,144.12384448125303
1997M04,146.58025157105746
1997M05,151.92590953359934
1997M06,157.21273120280975
1997M07,157.77498867409184
1997M08,160.15496658749976
1997M09,156.69969438326305
1997M10,152.80947892447705
1997M11,153.25581826480678
1997M12,159.6626206392652
1998M01,156.77523664188018
1998M02,152.51202506967175
1998M03,149.96018381361242
1998M04,148.82445877682807
1998M05,143.53778454169807
1998M06,146.37990553052424
1998M07,138.06125013963666
1998M08,139.58540625473225
1998M09,133.3489913785756
1998M10,127.37762261334777
1998M11,130.01921001314886
1998M12,131.44057841148637
1999M01,133.42169367163334
1999M02,146.39354077918094
1999M03,152.30124798250765
1999M04,155.9131361892293
1999M05,155.73731083124878
1999M06,157.1878700345881
1999M07,154.34239935325996
1999M08,150.11673843162544
1999M09,152.50374526538198
1999M10,150.09199478713984
1999M11,154.32392775956018
1999M12,156.34257088073883
2000M01,153.40009532163717
2000M02,157.35162145725783
2000M03,161.23113364080368
2000M04,167.6457219126361
2000M05,176.77065598950475
2000M06,166.22789090740875
2000M07,165.21695068475483
2000M08,170.08739817285448
2000M09,178.0679600378331
2000M10,179.94304594751176
2000M11,176.95867914815017
2000M12,169.89636394509338
2001M01,161.25645778344128
2001M02,162.42016770546192
2001M03,164.34688463950584
2001M04,167.85386039348757
2001M05,169.87401564345416
2001M06,170.56101811995447
2001M07,166.45312681073943
2001M08,160.44171391313236
2001M09,161.313949917803
2001M10,158.41690037739386
2001M11,160.15783755768715
2001M12,155.22701690795023
2002M01,152.38149376000266
2002M02,153.8680915307763
