DATE,Hungary
1993M01,110.37851631380107
1993M02,111.45093256888039
1993M03,112.69454819652805
1993M04,112.7781393009882
1993M05,112.50641345170618
1993M06,115.7129521570496
1993M07,120.58564987851234
1993M08,119.7130545016132
1993M09,114.41812403502486
1993M10,118.3705521617155
1993M11,120.04020355883641
1993M12,118.68124879246766
1994M01,117.52825929919474
1994M02,117.62513717027464
1994M03,116.8901261271382
1994M04,115.8194796802261
1994M05,113.9091479796263
1994M06,113.36223294049304
1994M07,110.34247938524445
1994M08,116.54445426365214
1994M09,114.73460882446207
1994M10,111.6256727723164
1994M11,111.2609701611858
1994M12,112.24184514782227
1995M01,108.26864816517222
1995M02,106.03317883536299
1995M03,106.33523910544446
1995M04,107.64066530147632
1995M05,108.36871062271695
1995M06,108.7492897515525
1995M07,108.5626508345019
1995M08,112.15951731481898
1995M09,112.76085399691013
1995M10,110.73324223511801
1995M11,110.43704793823599
1995M12,111.78471632531848
1996M01,109.90245105947665
1996M02,109.63892161946835
1996M03,109.3978561489764
1996M04,110.0926846347069
1996M05,110.3893784007578
1996M06,110.13298123482214
1996M07,110.23159255844202
1996M08,110.66096811773761
1996M09,111.40749641556636
1996M10,111.96257954846116
1996M11,111.5186028815244
1996M12,113.5017826562922
1997M01,111.43065349531481
1997M02,114.13950415108748
1997M03,114.60667850479321
1997M04,115.05252672923565
1997M05,114.52485368025596
1997M06,114.94684828271883
1997M07,119.52015729000188
1997M08,123.27123980043659
1997M09,120.67109191567658
1997M10,119.3906053156354
1997M11,118.25713916576451
1997M12,119.97456694704408
1998M01,119.44495191955191
1998M02,118.58100935009293
1998M03,118.84689053302299
1998M04,118.40471405200266
1998M05,116.79537066542053
1998M06,119.48041691177866
1998M07,120.87276540182224
1998M08,123.53396987621481
1998M09,122.44760649986864
1998M10,119.03503095272237
1998M11,119.8035045208037
1998M12,119.11738962071064
1999M01,115.85249711648609
1999M02,118.338161143626
1999M03,122.51256596751293
1999M04,123.32337143119346
1999M05,122.30952583241707
1999M06,124.2320327304272
1999M07,124.65302606952038
1999M08,123.02933228721736
1999M09,124.95090462533283
1999M10,123.19271146975284
1999M11,125.84542023410644
1999M12,127.29191346172564
2000M01,125.76084537662626
2000M02,129.39576926603476
2000M03,132.53859310648375
2000M04,134.64723822846702
2000M05,140.44411066124107
2000M06,134.54126445375127
2000M07,134.96347174636298
2000M08,139.8053153438274
2000M09,145.14265838127145
2000M10,147.52177983078286
2000M11,147.1484718631692
2000M12,140.54176555245695
2001M01,133.11365691607256
2001M02,134.61327047902623
2001M03,135.75795875758763
2001M04,138.16303611267725
2001M05,135.8732371281014
2001M06,132.9601311364033
2001M07,132.48812892082722
2001M08,128.05104530217724
2001M09,128.81172189216468
2001M10,128.32087248391616
2001M11,128.68013448598288
2001M12,125.39300824215982
2002M01,123.59171356943705
2002M02,124.60784511996171
2002M03,124.17897661685458
2002M04,121.1916326473887
2002M05,117.15234285776464
2002M06,112.6081229361345
2002M07,110.42977210914809
2002M08,112.10507587679851
2002M09,110.6017067262578
2002M10,110.02782370238499
2002M11,105.35059934885062
2002M12,102.44431517449179
2003M01,99.10743960970468
2003M02,99.79030059203211
2003M03,99.42871863418102
2003M04,98.66285364657907
2003M05,92.14810163086777
2003M06,97.03086639376681
2003M07,100.54980098113772
2003M08,101.49018780138395
2003M09,99.02437914352049
2003M10,94.19939868440242
2003M11,94.77462242949703
2003M12,91.95518351456374
2004M01,87.97051310924333
2004M02,86.59444899181699
2004M03,86.09881373113927
2004M04,87.04129097626829
2004M05,87.62095621189646
2004M06,86.93922826707187
2004M07,84.72532128410218
2004M08,85.42762964169542
2004M09,84.78987528181126
2004M10,82.67637773732432
2004M11,78.99831017283456
2004M12,76.51771144611176
2005M01,77.91313063382322
2005M02,77.78052536048024
2005M03,77.33128300131646
2005M04,79.66888231419745
2005M05,81.90856588625434
2005M06,84.28801854198542
2005M07,84.64907631957594
2005M08,83.13312930684906
2005M09,84.70845478776677
2005M10,88.59853478606087
2005M11,89.23278727673829
2005M12,88.84649022015167
2006M01,86.97195680791228
2006M02,88.42349458317753
2006M03,91.0767086934676
2006M04,90.94643785868438
2006M05,85.99800325155529
2006M06,89.84283961380186
2006M07,91.56269476716896
2006M08,89.7217406791368
2006M09,87.82193407170824
2006M10,85.43024132392382
2006M11,80.62669697640074
2006M12,77.2275830814797
2007M01,77.72325455699739
2007M02,76.61456988553138
2007M03,74.68354246000428
2007M04,72.2563692228966
2007M05,72.81869650962877
2007M06,73.80836494783522
2007M07,71.12954404088792
2007M08,73.97728596092668
2007M09,71.76541105796281
2007M10,68.90673452955288
2007M11,67.69571315089685
2007M12,67.67861713015206
2008M01,67.48447323913265
2008M02,68.31581821374864
2008M03,64.62580010046324
2008M04,62.257945740928555
2008M05,61.27910029514329
2008M06,60.68916650200148
2008M07,57.54113541569492
2008M08,61.52554083627544
2008M09,65.33486520946653
2008M10,74.507399607321
2008M11,78.96152822978014
2008M12,74.11733572155529
2009M01,79.57883385462503
2009M02,87.29485501099501
2009M03,87.19597348801281
2009M04,83.07125488251462
2009M05,75.80783028620962
2009M06,74.12356573046813
2009M07,70.44762578481804
2009M08,69.31801538331104
2009M09,68.59093521551054
2009M10,66.66166508313569
2009M11,66.60806863184519
2009M12,68.4383284809945
2010M01,68.34359322017322
2010M02,71.63142648947124
2010M03,70.57718602771989
2010M04,71.00494952142404
2010M05,78.28502859397467
2010M06,81.83634728181639
2010M07,78.85277463358182
2010M08,77.8187919692953
2010M09,77.44077661060933
2010M10,70.55150750852164
2010M11,71.89231270038934
2010M12,74.49021246449051
2011M01,73.10980027391285
2011M02,70.4647823849205
2011M03,68.40743387941441
2011M04,65.01920825771215
2011M05,65.98333788030992
2011M06,65.87005333847475
2011M07,66.86936515516786
2011M08,67.94514437339146
2011M09,74.20182872003298
2011M10,77.03012820969867
2011M11,80.73104654008633
2011M12,81.15129997802995
2012M01,82.36745471483701
2012M02,75.66622142965501
2012M03,76.14447460329947
2012M04,77.0243312186334
2012M05,78.7165613441573
2012M06,80.25768880869697
2012M07,79.67725328938008
2012M08,77.21143664477678
2012M09,75.91401869696755
2012M10,74.64010814566389
2012M11,75.27206894592751
2012M12,74.08030513994076
2013M01,74.85395878589229
2013M02,74.86997734551929
2013M03,79.98424342761795
