DATE,Sweden
1993M01,58.3344453651928
1993M02,60.46802304339774
1993M03,62.27276407723028
1993M04,59.93578280818381
1993M05,59.11109892676795
1993M06,60.11728805160425
1993M07,64.69865133515974
1993M08,65.54018199757466
1993M09,64.77334570867961
1993M10,64.84778713320453
1993M11,66.80699631120052
1993M12,67.95677300110415
1994M01,65.98431364883074
1994M02,64.70657386712351
1994M03,64.11984577338154
1994M04,63.7862659227201
1994M05,62.392673347621454
1994M06,63.321282325084866
1994M07,63.15453873307645
1994M08,63.147284654087336
1994M09,61.127953735970145
1994M10,58.91511502940398
1994M11,59.68585262517486
1994M12,61.17839006696822
1995M01,60.78727052712464
1995M02,60.079756337405286
1995M03,59.1461577425064
1995M04,59.520816943881464
1995M05,59.167199214167134
1995M06,59.10463150988426
1995M07,58.51065699218291
1995M08,59.14688732512586
1995M09,58.05567145674254
1995M10,55.67065091717833
1995M11,53.70038961314008
1995M12,54.164114194118184
1996M01,55.30118986562516
1996M02,56.734648181411494
1996M03,55.5282948365844
1996M04,55.5061658989614
1996M05,56.33594449009058
1996M06,55.575658785843444
1996M07,55.47618346075639
1996M08,55.66917834690372
1996M09,55.695776711413004
1996M10,55.51401378667404
1996M11,55.89894658840749
1996M12,57.5910676968079
1997M01,59.99007746991878
1997M02,63.01217555447445
1997M03,65.03934129199818
1997M04,64.96656444754463
1997M05,64.92097215704814
1997M06,65.50888190660183
1997M07,66.22482546435123
1997M08,68.01024667823708
1997M09,65.01718280990076
1997M10,64.03378523394015
1997M11,63.93070510011959
1997M12,65.91422772103924
1998M01,68.55641653473732
1998M02,69.3756144181464
1998M03,68.45402695355163
1998M04,67.0085319230485
1998M05,66.07404851655471
1998M06,68.10172766009019
1998M07,69.02743701892356
1998M08,70.7724799603667
1998M09,68.5810655980342
1998M10,68.08160859140379
1998M11,69.47107828313132
1998M12,70.06186551300743
1999M01,68.19961815879714
1999M02,69.42317943572927
1999M03,71.64077290666451
1999M04,72.96719734593668
1999M05,73.87939851546051
1999M06,74.38287416440704
1999M07,74.49323624096573
1999M08,72.90668912489195
1999M09,72.38739954367242
1999M10,71.81625912999964
1999M11,73.73550372530005
1999M12,74.80309905357598
2000M01,75.64224810064526
2000M02,77.25021541420033
2000M03,77.8745366968984
2000M04,78.25817701217139
2000M05,81.28641233973404
2000M06,78.67167134184476
2000M07,80.86015811872826
2000M08,83.88074906611679
2000M09,87.24795166549477
2000M10,89.91727579480644
2000M11,91.00093296792639
2000M12,87.24547159081938
2001M01,86.32670002565264
2001M02,88.82048896317252
2001M03,90.81953886879347
2001M04,92.11035162533175
2001M05,92.89474862049501
2001M06,97.434921839823
2001M07,97.5692893345487
2001M08,93.44273129767684
2001M09,95.60182320866457
2001M10,94.99879773314889
2001M11,95.16229298433385
2001M12,94.2556604530543
2002M01,93.71358081703293
2002M02,94.93584583463155
2002M03,92.68623830266006
2002M04,92.53241621369676
2002M05,90.23673539801784
2002M06,85.75461789929699
2002M07,84.17314125798171
2002M08,85.4883816634659
2002M09,83.99638086899478
2002M10,83.23583708106614
2002M11,82.53971114439916
2002M12,80.19201236092528
2003M01,77.50599048439881
2003M02,76.07457605674415
2003M03,76.5889227853435
2003M04,75.79588301847986
2003M05,71.00427477631324
2003M06,70.46771924872883
2003M07,73.14272262097796
2003M08,75.4420302099866
2003M09,73.24022838289633
2003M10,69.67714213194004
2003M11,69.45300353261504
2003M12,66.25079091404903
2004M01,65.72188070421716
2004M02,66.4193814514184
2004M03,68.81482138070105
2004M04,70.1202489006643
2004M05,69.89695186812517
2004M06,69.77678554241093
2004M07,69.49352958413918
2004M08,70.07679411795392
2004M09,68.70020077323701
2004M10,67.19207559302488
2004M11,64.54125317728858
2004M12,62.18385649691288
2005M01,64.51186573216546
2005M02,65.32829876104742
2005M03,64.86250510997898
2005M04,67.09585316397846
2005M05,68.39856708183427
2005M06,71.99989611828035
2005M07,74.60314107409617
2005M08,72.64192445006009
2005M09,73.22092872532252
2005M10,75.35283217788464
2005M11,77.50845889483713
2005M12,75.73194109885274
2006M01,74.30878444838115
2006M02,75.46066483806099
2006M03,75.24841879416266
2006M04,73.47930400223237
2006M05,70.82329978393179
2006M06,70.88603538909662
2006M07,70.92555936123222
2006M08,70.23600538904685
2006M09,70.35571714141676
2006M10,70.54360391739436
2006M11,67.76238738003606
2006M12,65.65555816972996
2007M01,67.63549194604215
2007M02,68.04269632506288
2007M03,68.1175398255111
2007M04,66.3683631096168
2007M05,66.64968809828851
2007M06,68.04122161967001
2007M07,65.58318041767673
2007M08,66.94918674362239
2007M09,64.91508254370423
2007M10,62.48273522423944
2007M11,61.28820227811157
2007M12,62.481261833554015
2008M01,62.67484879999203
2008M02,62.0112790859591
2008M03,59.12767660131984
2008M04,58.15099598512653
2008M05,58.80320002136301
2008M06,59.50934452086536
2008M07,59.646628644242
2008M08,62.07387057139718
2008M09,65.07089827363005
2008M10,71.55479738805468
2008M11,76.01561490458636
2008M12,76.82826062866096
2009M01,78.31932469570097
2009M02,82.7655168622796
2009M03,83.21570517807322
2009M04,80.0915480470616
2009M05,75.6495054397266
2009M06,76.21393850746242
2009M07,75.75608598173326
2009M08,70.54626667908681
2009M09,68.80086797523583
2009M10,68.30248815203778
2009M11,68.07209096572338
2009M12,69.75985893377397
2010M01,70.54214776722912
2010M02,71.41423646543092
2010M03,70.55215421500732
2010M04,71.05954242717709
2010M05,75.80679782509391
2010M06,77.0969825681644
2010M07,73.40496707228951
2010M08,72.21713247249033
2010M09,69.20405559065422
2010M10,65.3519338483795
