DATE,Denmark
1993M01,83.07263053636908
1993M02,84.07294345544291
1993M03,84.45287856312463
1993M04,81.92464688086476
1993M05,82.22391261281982
1993M06,84.24800682114056
1993M07,88.65519464155477
1993M08,92.50176505847405
1993M09,88.65985152358435
1993M10,88.65734981305515
1993M11,90.4480975457723
1993M12,89.83621531671722
1994M01,90.79210582523449
1994M02,90.81461333919943
1994M03,89.14581086200945
1994M04,89.42894468710938
1994M05,86.66581726563946
1994M06,85.53045931661786
1994M07,82.98192038063681
1994M08,83.28307731285204
1994M09,82.34172158815171
1994M10,80.07267597903333
1994M11,80.91325059228083
1994M12,82.7949540944269
1995M01,81.33042107340616
1995M02,79.97014117772927
1995M03,75.94138632383945
1995M04,73.25988486191342
1995M05,74.04769568859541
1995M06,73.901953624247
1995M07,73.42867208996682
1995M08,76.08980483481868
1995M09,76.75974503682278
1995M10,74.52754695166233
1995M11,74.32775650820088
1995M12,75.5354251808509
1996M01,77.00969204856911
1996M02,77.1011771997802
1996M03,77.61426059265655
1996M04,79.07896798468592
1996M05,80.44825378383752
1996M06,80.17186494509961
1996M07,79.21692200646115
1996M08,78.25350139350007
1996M09,79.06572889773909
1996M10,80.01727163293363
1996M11,79.19063834756315
1996M12,81.18267970036794
1997M01,83.69865924114673
1997M02,87.48536372607853
1997M03,89.03522644781428
1997M04,89.29413385489178
1997M05,88.35399821119813
1997M06,89.33600023549837
1997M07,93.07854583615719
1997M08,95.61244008913219
1997M09,92.71147952145886
1997M10,91.25938544952761
1997M11,89.70874757095365
1997M12,92.17923546130113
1998M01,94.48877374922029
1998M02,94.11500663222472
1998M03,94.78788480642442
1998M04,94.1895941287968
1998M05,91.7389115950845
1998M06,92.84732423268773
1998M07,93.36807062773103
1998M08,92.8026223473768
1998M09,88.21099907442678
1998M10,84.84354004481436
1998M11,86.8562772797506
1998M12,86.38371269203328
1999M01,87.49643086234092
1999M02,89.92086915826185
1999M03,92.47565950158699
1999M04,94.38066365623506
1999M05,94.88170410556268
1999M06,96.91562322108862
1999M07,97.79804904758383
1999M08,95.08674909562536
1999M09,96.04680103511294
1999M10,94.14047267522113
1999M11,97.40863089130734
1999M12,99.61933890090334
2000M01,99.78251111430872
2000M02,102.75491569268148
2000M03,105.05122651320377
2000M04,106.91143784089483
2000M05,111.35574422364506
2000M06,106.71184109194407
2000M07,108.48166236830907
2000M08,112.83526502391807
2000M09,117.14455201817894
2000M10,119.02721707366283
2000M11,118.97759414835686
2000M12,113.5609843722317
2001M01,109.54554749695099
2001M02,111.05157386149847
2001M03,112.37374690170167
2001M04,114.4395989440232
2001M05,116.69633475049454
2001M06,119.64968089264558
2001M07,118.79605943834322
2001M08,113.44612142668572
2001M09,112.14867748014868
2001M10,112.17543120323526
2001M11,114.59685303188166
2001M12,113.17453366008526
2002M01,114.51039852918758
2002M02,115.71809226305298
2002M03,114.82643056876388
2002M04,113.95038738050285
2002M05,110.01638591141405
2002M06,105.59846197978263
2002M07,101.89414719601392
2002M08,103.74371242825902
2002M09,102.99015898012436
2002M10,103.04049796677936
2002M11,101.81706197508935
2002M12,98.87967590748167
2003M01,95.2477543131965
2003M02,93.68064012917873
2003M03,93.14709821730474
2003M04,92.78739802933843
2003M05,87.06238443745335
2003M06,86.34398814861977
2003M07,89.29060209182886
2003M08,91.4121249289015
2003M09,90.46539579571089
2003M10,87.03130683286871
2003M11,86.7200098774206
2003M12,82.74860614085539
2004M01,80.96086208734464
2004M02,80.53042171549218
2004M03,83.35967960797113
2004M04,85.31123354530524
2004M05,85.36218188303097
2004M06,84.73250832646977
2004M07,84.07409606576876
2004M08,85.01888920329657
2004M09,84.4060481535785
2004M10,82.60029934651257
2004M11,79.64084855913197
2004M12,77.1771156407297
2005M01,79.2033151177723
2005M02,79.58993038177252
2005M03,78.61805938970807
2005M04,80.44631274981217
2005M05,81.89835629185744
2005M06,85.32882312067115
2005M07,86.94749465194982
2005M08,85.56004379969986
2005M09,86.27541993483155
2005M10,88.1524411461507
2005M11,89.45096356193697
2005M12,88.28051303065489
2006M01,87.70666676166068
2006M02,88.18521503279997
2006M03,87.79602881447366
2006M04,86.2848656707302
2006M05,83.33557287996221
2006M06,84.01801697286582
2006M07,84.17657891192509
2006M08,83.48140353727867
2006M09,83.35148296943929
2006M10,83.70415394035115
2006M11,81.97799077954272
2006M12,79.88010629840618
2007M01,81.68747235182249
2007M02,80.84553931863047
2007M03,80.20933185647164
2007M04,78.91895460626364
2007M05,79.21930187643552
2007M06,80.04072086659521
2007M07,78.65097466476595
2007M08,79.12278590763583
2007M09,77.35178740198968
2007M10,75.52197337606145
2007M11,73.23236309829628
2007M12,73.75948014222168
2008M01,73.09132530919237
2008M02,72.25755069357568
2008M03,68.96685884051054
2008M04,68.28942074849698
2008M05,69.35969773369663
2008M06,69.9038094651673
2008M07,69.54434459578873
2008M08,72.84711518227626
2008M09,75.48000185440193
2008M10,80.70898245244528
2008M11,82.9716796690991
2008M12,78.44364802730992
2009M01,79.89977669680948
2009M02,82.14337525002252
2009M03,80.38295274225587
2009M04,79.82438186212222
2009M05,77.25016034132533
2009M06,75.61170461150333
2009M07,75.39534728161318
2009M08,74.40137919344834
2009M09,72.71996535395043
2009M10,71.50798634781228
2009M11,71.13095535694467
2009M12,72.58712633537263
2010M01,74.53233128549562
2010M02,76.77097527945928
2010M03,77.15365270962418
2010M04,78.19110473622841
2010M05,83.46849952998767
2010M06,86.01452048058046
2010M07,82.45408207182707
2010M08,81.37039373480899
2010M09,80.03432062582517
2010M10,75.57512826119387
