DATE,Netherlands
1993M01,86.11583935976006
1993M02,87.35332997175057
1993M03,87.09302056974607
1993M04,84.19271464153707
1993M05,84.85858188503141
1993M06,87.65900260105286
1993M07,90.86290720878571
1993M08,89.59555349798042
1993M09,85.00870131696672
1993M10,86.29824342480212
1993M11,89.64281217700083
1993M12,90.52175021747686
1994M01,91.85436506356771
1994M02,91.67030075501768
1994M03,89.06255272039832
1994M04,89.49269904104337
1994M05,87.13122507596997
1994M06,86.24750350687016
1994M07,82.87581364795976
1994M08,82.84139040243518
1994M09,81.46871785386179
1994M10,79.57903178326298
1994M11,81.30642841548867
1994M12,83.00942450685504
1995M01,81.30396136294704
1995M02,79.30945414627513
1995M03,74.44295286028922
1995M04,73.14267710914473
1995M05,74.83631060933818
1995M06,74.63984084702756
1995M07,74.1644278480019
1995M08,77.08380239729124
1995M09,77.57771660868582
1995M10,75.0485755893867
1995M11,75.47442958030891
1995M12,76.57362595719334
1996M01,78.1479199951367
1996M02,78.10249418814567
1996M03,78.2625579125485
1996M04,79.74958889750788
1996M05,81.52998557051431
1996M06,81.9265769546422
1996M07,80.92305045955038
1996M08,79.74268568099927
1996M09,80.71397930825836
1996M10,81.73941891956234
1996M11,81.50919508046421
1996M12,83.52326960381701
1997M01,86.57593385755264
1997M02,90.52544116008552
1997M03,91.50360250366366
1997M04,91.99270271180711
1997M05,91.7262164559553
1997M06,93.24807950142886
1997M07,96.89621833273611
1997M08,99.21190591193191
1997M09,96.1959618825776
1997M10,94.43205396053618
1997M11,92.90453679631959
1997M12,95.46379904525226
1998M01,98.36512096957924
1998M02,97.99338984250782
1998M03,97.84207730854817
1998M04,96.82827934760216
1998M05,95.19764821754713
1998M06,96.67160875596723
1998M07,97.07932494469432
1998M08,96.7059883762697
1998M09,91.27953662976871
1998M10,87.9718609474167
1998M11,90.34947881086038
1998M12,89.59137624240553
1999M01,90.62725415123117
1999M02,93.53859213433395
1999M03,95.78404573157643
1999M04,97.87730136231932
1999M05,98.55437619332453
1999M06,101.31536789094912
1999M07,102.00967395833204
1999M08,99.26602544186893
1999M09,100.25379716675914
1999M10,98.4232941041581
1999M11,101.87175241202303
1999M12,104.53847624635921
2000M01,104.77805566831225
2000M02,107.96748449084407
2000M03,110.02198424943543
2000M04,111.96050230014389
2000M05,116.772546400093
2000M06,112.15071952642388
2000M07,113.84063794516273
2000M08,117.7993439639527
2000M09,121.30167190076854
2000M10,123.72412869922289
2000M11,123.59941341258677
2000M12,118.63433466416103
2001M01,113.16681197488872
2001M02,114.65640677770932
2001M03,115.40664436188274
2001M04,117.48966294960933
2001M05,120.01101193016706
2001M06,123.62060587271827
2001M07,122.39456651996116
2001M08,116.55447321305058
2001M09,114.30519156260382
2001M10,114.68495240216974
2001M11,116.8752694299693
2001M12,116.33284386702263
2002M01,116.89074611325879
2002M02,118.47562629103594
2002M03,117.31562267614197
2002M04,116.09142383785849
2002M05,112.12357073653965
2002M06,108.0605115349034
2002M07,104.29263738943871
2002M08,105.81731844246664
2002M09,104.53002338738004
2002M10,104.92232024196406
2002M11,103.10656075083088
2002M12,101.5420945047073
2003M01,97.43207291944165
2003M02,96.19598920523893
2003M03,95.58224224944603
2003M04,94.91412553895823
2003M05,88.82597480667972
2003M06,88.70016863482519
2003M07,90.98832058654989
2003M08,92.97234897952029
2003M09,91.70983524469482
2003M10,88.12218077011919
2003M11,88.04973774869546
2003M12,84.31034159013782
2004M01,82.50344875513886
2004M02,82.36207023809098
2004M03,84.75254810406508
2004M04,86.709615349461
2004M05,86.91124860830868
2004M06,86.76524920564835
2004M07,85.88880256267694
2004M08,86.27754964515917
2004M09,85.41294023356346
2004M10,83.97752976811536
2004M11,81.01209934871534
2004M12,78.89011886701267
2005M01,80.46333104083627
2005M02,81.0911638750596
2005M03,79.83168456462323
2005M04,81.84691636131011
2005M05,83.39544007222202
2005M06,87.34348806304774
2005M07,88.80913021975263
2005M08,87.0137235326649
2005M09,87.55533091049432
2005M10,89.55691943930437
2005M11,90.8001624293901
2005M12,90.38080232616187
2006M01,89.52836916333284
2006M02,90.58978727905529
2006M03,89.76648416421399
2006M04,88.28177982967397
2006M05,85.17109781897929
2006M06,86.46111598245378
2006M07,86.64485273906891
2006M08,85.49812800996355
2006M09,85.29350732541405
2006M10,85.85336911809063
2006M11,84.07132599050803
2006M12,82.37241022615363
2007M01,83.88978967202414
2007M02,83.47136933800357
2007M03,82.26851355005647
2007M04,80.7347503229246
2007M05,81.19861188524511
2007M06,82.25662171176995
2007M07,80.83497743036081
2007M08,81.10083181569894
2007M09,79.2665460947957
2007M10,77.54204143152556
2007M11,75.46863643631652
2007M12,76.32781772047758
2008M01,75.72719873616153
2008M02,75.29117873017805
2008M03,71.43538889466213
2008M04,70.57695238456643
2008M05,71.79957520736885
2008M06,72.67171186395538
2008M07,71.9346464708732
2008M08,75.33587281614712
2008M09,78.0493552459619
2008M10,83.61887550921708
2008M11,86.02790868166731
2008M12,81.36104412619368
2009M01,82.6555920191473
2009M02,85.37929836421698
2009M03,83.08383441281866
2009M04,82.16290945765023
2009M05,79.53150119087297
2009M06,78.37692115018997
2009M07,78.68732745699711
2009M08,77.64969320011464
2009M09,75.7348983621043
2009M10,74.43524530733285
2009M11,74.08275437098933
2009M12,75.9281722323757
2010M01,78.02104801114434
2010M02,80.80548373960526
2010M03,80.87307000319034
2010M04,81.72075909894072
2010M05,87.33060076589787
2010M06,90.19007746817745
2010M07,86.51950033193862
2010M08,85.6561873636497
2010M09,84.07126432350981
2010M10,79.03660672217366
