DATE,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,"Korea, Republic of",Luxembourg,Mexico,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,Turkey,United Kingdom
1993M01,84.2751481068659,84.32232936734117,84.84602262062909,90.62299957297586,181.0160512611379,83.07263053636908,75.45443165179388,76.89954885047636,90.49627616444727,110.37851631380107,82.29142983518267,78.6194572143861,83.02352650484409,81.60568272702423,84.22069954854351,72.16248975379594,86.11583935976006,75.6802962247003,121.10733463107084,82.49827290115691,80.00611554392387,58.3344453651928,96.31779782067517,80.93115179901758,80.23782034813875
1993M02,85.48900264893327,85.87275001620668,83.51838094803735,91.51410544637373,179.60411590318108,84.07294345544291,76.5583359555253,77.50836490781361,92.45802229795471,111.45093256888039,83.43396893626313,87.94866004234426,86.14612281031107,81.81417487144961,85.7374935825627,71.59768430086098,87.35332997175057,76.80948652316134,118.90325881019342,84.51223648460918,82.29918204535778,60.46802304339774,98.63468075788094,78.10886578353329,86.2980461460383
1993M03,85.7463083860971,86.25447206340671,83.2426269512296,93.50745452200933,179.28201274624706,84.45287856312463,76.84649702886594,78.04913332977725,90.71065347838716,112.69454819652805,83.78988790299458,83.0644310061754,88.51845221575962,80.73642954947796,86.02134908400387,71.66202536791299,87.09302056974607,76.58298809969985,120.58005683685896,85.92459148385882,82.43740729159215,62.27276407723028,98.45501947897655,74.81487124565469,83.72470640218665
1993M04,83.31434878258843,83.67016001727289,84.14229657200303,93.39632691044633,175.45378742554593,81.92464688086476,74.34910329312592,75.69718746624349,87.35287476577028,112.7781393009882,81.27794082160457,80.81988960576108,85.27500970873795,80.75610448718194,83.33237616088878,71.21985709091885,84.19271464153707,74.1585615972548,118.17673514082114,83.29869532885536,80.80980306807443,59.93578280818381,94.54476417455382,71.8709961195259,79.74756311562255
1993M05,83.79802039918108,84.13643454823402,84.72899001798167,93.05229970414922,175.78703112241666,82.22391261281982,74.4877111381742,76.17689457864455,87.47107710945704,112.50641345170618,81.40932874401359,86.15356779300541,81.83547173424029,81.0211401268558,83.75501513344483,71.3709062349538,84.85858188503141,74.48094381312703,117.48537822760356,85.18563189153986,84.51929651434052,59.11109892676795,93.97248106308872,68.72537091307115,79.60719680576415
1993M06,86.15673313059843,86.51344822034983,85.51458868008206,92.33835540818245,177.0882235084022,84.24800682114056,76.83929037154233,77.9749752105126,89.45988693528466,115.7129521570496,84.16575701243154,88.88739470549648,82.74620927464312,81.00696344210014,86.07555872543129,71.07126793117705,87.65900260105286,76.55333102834147,120.32215621548623,88.18623555603943,88.52862988132172,60.11728805160425,95.42519719604623,67.58199982412332,80.9440337622813
1993M07,88.40445376161264,89.77122583582751,85.31478823924076,91.77660799215317,181.31861472976948,88.65519464155477,80.35973107516766,80.39333837074021,95.12345101476346,120.58564987851234,91.68312109290972,91.94017097228706,87.03189390540717,81.42796055977158,89.58828991524712,70.7313970636061,90.86290720878571,80.29614712102031,122.92976168087813,93.20441905160436,93.44019246777208,64.69865133515974,98.08254263953945,64.43628051996129,82.42967131914567
1993M08,87.40821590752964,92.17016604364464,87.45405565493637,90.74542751868135,180.4490671171238,92.50176505847405,81.96453548469772,80.14459580350004,96.25076954404996,119.7130545016132,90.90701445943783,93.49337194505294,88.42007188146736,81.79194289176716,92.09578896769142,70.32359990382403,89.59555349798042,81.19442373617161,124.00700060857166,96.55823370372711,96.11410339254876,65.54018199757466,97.22355592919102,62.93409382239747,82.26872417851789
1993M09,84.37577829186935,88.43868716275779,88.30421632878526,90.00384574389113,174.0469469962197,88.65985152358435,78.42381942835239,76.63019830828866,91.96335229493737,114.41812403502486,88.07777283984976,91.08465496515375,86.33502494102329,81.39715907414424,88.10561768512319,69.95121211390318,85.00870131696672,77.90664731428146,128.53655828122223,92.50125324943325,90.19330987885202,64.77334570867961,92.2856849905861,59.72499790460608,80.82806910165604
1993M10,85.46902952753761,90.78978075770799,89.13308698129907,89.05847949894459,173.68220868255924,88.65734981305515,79.57688313281521,77.89703408688112,92.48913098827245,118.3705521617155,88.62241143529066,91.17681406410075,89.42876184481867,81.56930741845314,90.28376940732143,69.95437841612613,86.29824342480212,79.11273869490122,130.05198913992376,94.0785510452126,91.32792858620499,64.84778713320453,93.90245283541914,56.10555212637623,82.39203139042111
1993M11,88.866064979092,92.17845741106017,88.11332267595385,89.02334433535266,176.85740397427713,90.4480975457723,81.76906380653291,80.69808057758117,94.32662807844495,120.04020355883641,90.83882008602829,92.54281240985482,91.51849137364654,81.44566579573538,91.47732064188436,70.8154825557223,89.64281217700083,81.71011228226698,128.78481441683658,96.10235228919792,94.85292174409787,66.80699631120052,98.01420947017697,52.769807078245535,83.94147341258193
1993M12,89.17820006903277,90.79768281716076,88.9870751365863,91.69652235210867,175.69631540781114,89.83621531671722,80.97210631624503,80.96383962436951,94.07826702452745,118.68124879246766,91.71106282128972,92.54281240985482,92.5407170153327,81.2146145145781,90.1508023087294,69.16760427616032,90.52175021747686,82.16803592599312,124.3277470060459,96.2372448714756,96.38236304487171,67.95677300110415,95.28144877414196,50.92678518380868,82.4485804801063
1994M01,90.383697972088,91.96956766895057,88.56029842550176,92.00817557480082,174.07721680059487,90.79210582523449,82.06486637328912,82.18717330690848,96.68420698873001,117.52825929919474,93.56121104126629,90.92408193836029,92.90541269620623,80.50581767350207,91.66379632733222,68.82379928161207,91.85436506356771,83.18769812874659,125.30265374093193,96.16087242713712,97.51366918565515,65.98431364883074,96.08482621235642,48.91007901054405,82.67477686350873
