Country,T stat,1%,5%,10%,PPP
Romania,-1.743413,-3.459231,-2.874143,-2.573563,FALSE
Russian Federation,-3.372489,-3.450812,-2.870444,-2.571584,TRUE
Rwanda,-2.570613,-3.467205,-2.877636,-2.57543,FALSE
Samoa,-1.712618,-3.469933,-2.878829,-2.576067,FALSE
San Marino,-1.445703,-3.495021,-2.889753,-2.58189,FALSE
Saudi Arabia,-1.470986,-3.453072,-2.871438,-2.572116,FALSE
Senegal,-1.872528,-3.459231,-2.874143,-2.573563,FALSE
"Serbia, Republic of",-2.107886,-3.476805,-2.88183,-2.577668,FALSE
Seychelles,-4.108836,-3.476805,-2.88183,-2.577668,TRUE
Sierra Leone,-1.441274,-3.476805,-2.88183,-2.577668,FALSE
Singapore,-1.588724,-3.469933,-2.878829,-2.576067,FALSE
Sint Maarten,-2.793757,-3.509281,-2.895924,-2.585172,TRUE
Slovak Republic,0.377074,-3.464827,-2.876595,-2.574874,FALSE
Slovenia,-2.026248,-3.466377,-2.877274,-2.575236,FALSE
Solomon Islands,-1.726608,-3.574446,-2.92378,-2.599925,FALSE
South Africa,-1.775774,-3.439384,-2.865417,-2.568891,FALSE
South Sudan,-1.922548,-3.516676,-2.899115,-2.586866,FALSE
Spain,-2.291429,-3.439384,-2.865417,-2.568891,FALSE
Sri Lanka,-0.9092,-3.493129,-2.888932,-2.581453,FALSE
St. Kitts and Nevis,-1.479086,-3.470679,-2.879155,-2.576241,FALSE
St. Lucia,-2.58343,-3.461327,-2.875062,-2.574054,TRUE
St. Vincent and the Grenadines,-1.569938,-3.46103,-2.874932,-2.573985,FALSE
Sudan,-1.562613,-3.527045,-2.903566,-2.589227,FALSE
Sweden,-2.063624,-3.439384,-2.865417,-2.568891,FALSE
Switzerland,-2.040058,-3.439384,-2.865417,-2.568891,FALSE
Syrian Arab Republic,-1.56544,-3.588509,-2.929734,-2.603064,FALSE
Tajikistan,0.492162,-3.507394,-2.895109,-2.584738,FALSE
Tanzania,-1.660588,-3.493129,-2.888932,-2.581453,FALSE
Thailand,-1.581746,-3.493129,-2.888932,-2.581453,FALSE
"Timor-Leste, Dem. Rep. of",-2.38902,-3.49991,-2.891871,-2.583017,FALSE
Togo,-1.848532,-3.455193,-2.87237,-2.572615,FALSE
Tonga,-1.609331,-3.470679,-2.879155,-2.576241,FALSE
Trinidad and Tobago,-1.047634,-3.459494,-2.874258,-2.573625,FALSE
Tunisia,0.508176,-3.469933,-2.878829,-2.576067,FALSE
Turkey,-2.878851,-3.450411,-2.870274,-2.571493,TRUE
Uganda,-1.733545,-3.493129,-2.888932,-2.581453,FALSE
Ukraine,-1.219786,-3.469933,-2.878829,-2.576067,FALSE
United Arab Emirates,-2.304098,-3.481217,-2.883753,-2.578694,FALSE
United Kingdom,-3.008172,-3.439384,-2.865417,-2.568891,TRUE
Uruguay,-2.003306,-3.469933,-2.878829,-2.576067,FALSE
Vietnam,-1.979829,-3.493129,-2.888932,-2.581453,FALSE
"Yemen, Republic of",-0.854865,-3.548208,-2.912631,-2.594027,FALSE
Zambia,-1.570098,-3.493129,-2.888932,-2.581453,FALSE
